+---------------------------------+--------------------------------+----------+---------+------------+------------+-------------+-----------+
| substr(w_warehouse_name, 1, 20) | sm_type                        | web_name | 30 days | 31-60 days | 61-90 days | 91-120 days | >120 days |
| Doors canno                     | TWO DAY                        | site_4   | 5175    | 5262       | 5236       | 5224        | 0         |
| Important issues liv            | EXPRESS                        | site_0   | 6811    | 6833       | 6683       | 6657        | 0         |
| Important issues liv            | EXPRESS                        | site_1   | 7734    | 7188       | 7578       | 7337        | 0         |
| Important issues liv            | EXPRESS                        | site_2   | 7244    | 7644       | 7386       | 7625        | 0         |
| Important issues liv            | EXPRESS                        | site_3   | 7612    | 7331       | 7685       | 7339        | 0         |
| Important issues liv            | EXPRESS                        | site_4   | 6702    | 6666       | 6613       | 6670        | 0         |
| Important issues liv            | LIBRARY                        | site_0   | 5418    | 5204       | 5255       | 5170        | 0         |
| Important issues liv            | LIBRARY                        | site_1   | 4338    | 4596       | 4205       | 4745        | 0         |
| Important issues liv            | LIBRARY                        | site_2   | 5257    | 5125       | 5337       | 5011        | 0         |
| Important issues liv            | LIBRARY                        | site_3   | 5901    | 5984       | 6040       | 6041        | 0         |
| Important issues liv            | LIBRARY                        | site_4   | 5912    | 6008       | 5933       | 5977        | 0         |
+---------------------------------+--------------------------------+----------+---------+------------+------------+-------------+-----------+
