+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------+--------+-------+-------+------------+---------------+-----+
| i_category                                         | i_class                                            | i_brand                                            | i_product_name | d_year | d_qoy | d_moy | s_store_id | sumsales      | rk  |
| Books                                              | reference                                          | brandmaxi #6                                       | NULL           | NULL   | NULL  | NULL  | NULL       | 26500062.28   | 60  |
| Books                                              | reference                                          | brandmaxi #8                                       | NULL           | NULL   | NULL  | NULL  | NULL       | 32196016.97   | 34  |
| Books                                              | reference                                          | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 144108613.23  | 14  |
| Books                                              | romance                                            | namelessmaxi #10                                   | NULL           | NULL   | NULL  | NULL  | NULL       | 19488235.46   | 97  |
| Books                                              | romance                                            | namelessmaxi #12                                   | NULL           | NULL   | NULL  | NULL  | NULL       | 32486290.01   | 31  |
| Books                                              | romance                                            | namelessmaxi #2                                    | NULL           | NULL   | NULL  | NULL  | NULL       | 32987175.34   | 30  |
| Books                                              | romance                                            | namelessmaxi #4                                    | NULL           | NULL   | NULL  | NULL  | NULL       | 29483804.85   | 46  |
| Books                                              | romance                                            | namelessmaxi #6                                    | NULL           | NULL   | NULL  | NULL  | NULL       | 33910071.31   | 29  |
| Books                                              | romance                                            | namelessmaxi #8                                    | NULL           | NULL   | NULL  | NULL  | NULL       | 21585218.90   | 87  |
| Books                                              | romance                                            | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 169940795.87  | 3   |
| Books                                              | science                                            | maximaxi #10                                       | NULL           | NULL   | NULL  | NULL  | NULL       | 28047666.57   | 52  |
| Books                                              | science                                            | maximaxi #2                                        | NULL           | NULL   | NULL  | NULL  | NULL       | 26494478.85   | 61  |
| Books                                              | science                                            | maximaxi #4                                        | NULL           | NULL   | NULL  | NULL  | NULL       | 20690600.73   | 91  |
| Books                                              | science                                            | maximaxi #6                                        | NULL           | NULL   | NULL  | NULL  | NULL       | 32393258.64   | 32  |
| Books                                              | science                                            | maximaxi #8                                        | NULL           | NULL   | NULL  | NULL  | NULL       | 20370376.99   | 94  |
| Books                                              | science                                            | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 141693625.61  | 15  |
| Books                                              | self-help                                          | exportiunivamalg #10                               | NULL           | NULL   | NULL  | NULL  | NULL       | 31126672.89   | 37  |
| Books                                              | self-help                                          | exportiunivamalg #12                               | NULL           | NULL   | NULL  | NULL  | NULL       | 21880625.46   | 83  |
| Books                                              | self-help                                          | exportiunivamalg #2                                | NULL           | NULL   | NULL  | NULL  | NULL       | 28364291.16   | 51  |
| Books                                              | self-help                                          | exportiunivamalg #4                                | NULL           | NULL   | NULL  | NULL  | NULL       | 24934827.81   | 68  |
| Books                                              | self-help                                          | exportiunivamalg #6                                | NULL           | NULL   | NULL  | NULL  | NULL       | 30757838.79   | 39  |
| Books                                              | self-help                                          | exportiunivamalg #8                                | NULL           | NULL   | NULL  | NULL  | NULL       | 20399827.12   | 93  |
| Books                                              | self-help                                          | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 157464083.23  | 10  |
| Books                                              | sports                                             | edu packunivamalg #10                              | NULL           | NULL   | NULL  | NULL  | NULL       | 22130933.41   | 80  |
| Books                                              | sports                                             | edu packunivamalg #12                              | NULL           | NULL   | NULL  | NULL  | NULL       | 21670707.27   | 84  |
| Books                                              | sports                                             | edu packunivamalg #2                               | NULL           | NULL   | NULL  | NULL  | NULL       | 21592943.04   | 86  |
| Books                                              | sports                                             | edu packunivamalg #4                               | NULL           | NULL   | NULL  | NULL  | NULL       | 25094578.55   | 66  |
| Books                                              | sports                                             | edu packunivamalg #6                               | NULL           | NULL   | NULL  | NULL  | NULL       | 38888985.46   | 19  |
| Books                                              | sports                                             | edu packunivamalg #8                               | NULL           | NULL   | NULL  | NULL  | NULL       | 29794751.53   | 43  |
| Books                                              | sports                                             | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 159172899.26  | 8   |
| Books                                              | travel                                             | univunivamalg #12                                  | NULL           | NULL   | NULL  | NULL  | NULL       | 22442798.05   | 78  |
| Books                                              | travel                                             | univunivamalg #2                                   | NULL           | NULL   | NULL  | NULL  | NULL       | 26735428.33   | 58  |
| Books                                              | travel                                             | univunivamalg #4                                   | NULL           | NULL   | NULL  | NULL  | NULL       | 21633044.14   | 85  |
| Books                                              | travel                                             | univunivamalg #6                                   | NULL           | NULL   | NULL  | NULL  | NULL       | 29612870.07   | 44  |
| Books                                              | travel                                             | univunivamalg #8                                   | NULL           | NULL   | NULL  | NULL  | NULL       | 30347345.41   | 41  |
| Books                                              | travel                                             | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 146462668.35  | 13  |
| Books                                              | NULL                                               | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 2477944204.72 | 1   |
+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------+--------+-------+-------+------------+---------------+-----+
