Query 69, 4.39, 4.18, 4.37, 4.37, 4.37, 4.3
Query 70, 6.77, 6.67, 6.68, 6.66, 6.66, 6.65
Query 71, 1.72, 1.72, 1.72, 1.72, 1.62, 1.73
Query 72, 22.59, 22.08, 22.08, 22.08, 22.58, 22.57
Query 73, 1.52, 1.42, 1.42, 1.42, 1.34, 1.42
Query 74, 6.7, 6.8, 6.7, 6.7, 6.59, 6.83
Query 75, 9.88, 9.68, 9.37, 9.67, 9.91, 9.58
Query 76, 5.4, 5.47, 5.3, 5.39, 5.3, 5.25
Query 77, 9.82, 4.89, 4.68, 4.77, 4.78, 4.98
Query 78, 5.97, 6.0, 5.87, 5.87, 5.78, 5.97
Query 79, 2.96, 2.96, 2.99, 3.0, 3.01, 2.96
Query 80, 6.48, 6.38, 6.27, 6.37, 6.3, 6.39
Query 81, 2.9, 2.89, 2.78, 2.79, 2.88, 2.88
Query 82, 5.14, 5.23, 5.13, 5.13, 5.13, 5.13
Query 83, 2.57, 2.55, 2.54, 2.54, 2.54, 2.54
Query 84, 2.24, 2.23, 2.23, 2.23, 2.23, 2.23
Query 85, 4.56, 4.44, 4.45, 4.45, 4.35, 4.65
Query 86, 2.16, 2.05, 2.06, 2.05, 2.07, 2.27
Query 87, 4.66, 4.55, 4.56, 4.57, 4.65, 4.56
Query 88, 10.03, 9.92, 9.91, 9.93, 9.92, 9.91
Query 89, 2.13, 1.92, 1.92, 2.02, 1.92, 1.92
Query 90, 2.04, 2.13, 2.13, 2.35, 2.23, 2.04
Query 91, 2.93, 2.82, 2.82, 2.82, 2.92, 2.82
Query 92, 2.23, 2.24, 2.23, 2.23, 2.23, 2.23
Query 93, 2.22, 2.32, 2.23, 2.32, 2.32, 2.23
Query 94, 2.15, 2.14, 2.13, 2.13, 2.13, 2.13
Query 95, 12.57, 12.07, 13.07, 12.07, 12.07, 12.56
Query 96, 2.03, 2.03, 2.03, 2.03, 2.03, 2.15
Query 97, 3.04, 2.94, 3.07, 2.94, 2.94, 2.94
Query 98, 1.53, 1.52, 1.62, 1.53, 1.52, 1.52
Query 99, 3.96, 4.11, 3.96, 3.96, 4.06, 4.06
