+---------+------------+-----------+-------------+----------------+------------------+
| item_sk | d_date     | web_sales | store_sales | web_cumulative | store_cumulative |
| 51      | 2001-01-19 | 327.51    | NULL        | 327.51         | 143.81           |
| 51      | 2001-01-21 | NULL      | 277.23      | 327.51         | 277.23           |
| 51      | 2001-01-22 | NULL      | 302.48      | 327.51         | 302.48           |
| 51      | 2001-01-26 | NULL      | 305.24      | 327.51         | 305.24           |
| 51      | 2001-01-27 | 351.18    | NULL        | 351.18         | 305.24           |
| 51      | 2001-01-29 | NULL      | 305.24      | 351.18         | 305.24           |
| 51      | 2001-02-12 | NULL      | 334.47      | 351.18         | 334.47           |
| 57      | 2001-01-14 | 156.16    | 126.70      | 156.16         | 126.70           |
| 57      | 2001-01-18 | 156.16    | NULL        | 156.16         | 126.70           |
| 57      | 2001-01-19 | NULL      | 151.26      | 156.16         | 151.26           |
| 57      | 2001-02-15 | 239.23    | NULL        | 239.23         | 158.05           |
| 57      | 2001-02-16 | NULL      | 190.60      | 239.23         | 190.60           |
| 59      | 2001-01-03 | NULL      | 12.46       | 35.07          | 12.46            |
| 63      | 2001-01-10 | 77.41     | NULL        | 77.41          | 4.84             |
| 63      | 2001-01-16 | NULL      | 25.10       | 77.41          | 25.10            |
| 63      | 2001-01-20 | NULL      | 66.78       | 77.41          | 66.78            |
| 65      | 2001-01-01 | 166.37    | 55.67       | 166.37         | 55.67            |
| 65      | 2001-01-02 | NULL      | 66.60       | 166.37         | 66.60            |
| 65      | 2001-01-22 | 183.69    | NULL        | 183.69         | 182.34           |
| 67      | 2001-01-11 | NULL      | 2.10        | 150.79         | 2.10             |
| 67      | 2001-01-18 | NULL      | 65.71       | 150.79         | 65.71            |
| 67      | 2001-01-27 | 154.72    | 100.69      | 154.72         | 100.69           |
| 67      | 2001-01-28 | 178.44    | NULL        | 178.44         | 100.69           |
| 67      | 2001-02-01 | NULL      | 113.36      | 178.44         | 113.36           |
| 71      | 2001-01-18 | NULL      | 5.75        | 7.90           | 5.75             |
| 71      | 2001-01-20 | NULL      | 6.76        | 7.90           | 6.76             |
| 71      | 2001-01-21 | NULL      | 7.46        | 7.90           | 7.46             |
| 71      | 2001-01-25 | 16.81     | NULL        | 16.81          | 7.46             |
| 75      | 2001-02-06 | 253.89    | 243.19      | 253.89         | 243.19           |
| 79      | 2001-01-28 | 127.88    | NULL        | 127.88         | 24.76            |
| 79      | 2001-02-01 | 128.80    | NULL        | 128.80         | 24.76            |
| 79      | 2001-02-06 | NULL      | 25.53       | 128.80         | 25.53            |
| 79      | 2001-02-09 | NULL      | 50.72       | 128.80         | 50.72            |
| 85      | 2001-01-03 | 126.30    | 106.74      | 126.30         | 106.74           |
| 85      | 2001-02-09 | 378.41    | NULL        | 378.41         | 360.83           |
| 93      | 2001-01-02 | NULL      | 5.17        | 119.50         | 5.17             |
| 93      | 2001-01-07 | NULL      | 84.05       | 119.50         | 84.05            |
| 93      | 2001-01-14 | NULL      | 117.12      | 119.50         | 117.12           |
| 95      | 2001-01-16 | 42.53     | NULL        | 42.53          | 34.99            |
| 103     | 2001-01-05 | NULL      | 32.71       | 54.41          | 32.71            |
| 103     | 2001-01-08 | 56.62     | NULL        | 56.62          | 32.71            |
| 103     | 2001-01-09 | 80.65     | NULL        | 80.65          | 32.71            |
+---------+------------+-----------+-------------+----------------+------------------+
