+---------------------------------+--------------------------------+----------+---------+------------+------------+-------------+-----------+
| substr(w_warehouse_name, 1, 20) | sm_type                        | web_name | 30 days | 31-60 days | 61-90 days | 91-120 days | >120 days |
| Conventional childr             | TWO DAY                        | site_6   | 803     | 758        | 759        | 758         | 0         |
| Doors canno                     | EXPRESS                        | site_0   | 1024    | 1082       | 1018       | 1010        | 0         |
| Doors canno                     | EXPRESS                        | site_1   | 1044    | 1053       | 1046       | 950         | 0         |
| Doors canno                     | EXPRESS                        | site_2   | 954     | 1045       | 1034       | 1096        | 0         |
| Doors canno                     | EXPRESS                        | site_3   | 1043    | 996        | 1033       | 1000        | 0         |
| Doors canno                     | EXPRESS                        | site_4   | 1022    | 1018       | 1009       | 1033        | 0         |
| Doors canno                     | EXPRESS                        | site_5   | 1031    | 1083       | 1031       | 992         | 0         |
| Doors canno                     | EXPRESS                        | site_6   | 1078    | 980        | 1007       | 1045        | 0         |
| Doors canno                     | LIBRARY                        | site_0   | 737     | 760        | 806        | 775         | 0         |
| Doors canno                     | LIBRARY                        | site_1   | 793     | 803        | 785        | 727         | 0         |
| Doors canno                     | LIBRARY                        | site_2   | 746     | 749        | 740        | 835         | 0         |
| Doors canno                     | LIBRARY                        | site_3   | 754     | 800        | 819        | 813         | 0         |
| Doors canno                     | LIBRARY                        | site_4   | 771     | 783        | 736        | 775         | 0         |
| Doors canno                     | LIBRARY                        | site_5   | 771     | 743        | 775        | 767         | 0         |
| Doors canno                     | LIBRARY                        | site_6   | 761     | 809        | 753        | 776         | 0         |
| Doors canno                     | NEXT DAY                       | site_0   | 1037    | 973        | 1045       | 1037        | 0         |
| Doors canno                     | NEXT DAY                       | site_1   | 998     | 974        | 998        | 993         | 0         |
+---------------------------------+--------------------------------+----------+---------+------------+------------+-------------+-----------+
