+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------+--------+-------+-------+------------+--------------+-----+
| i_category                                         | i_class                                            | i_brand                                            | i_product_name | d_year | d_qoy | d_moy | s_store_id | sumsales     | rk  |
| Books                                              | cooking                                            | amalgunivamalg #8                                  | NULL           | NULL   | NULL  | NULL  | NULL       | 9501922.95   | 83  |
| Books                                              | cooking                                            | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 62804175.62  | 6   |
| Books                                              | entertainments                                     | edu packmaxi #10                                   | NULL           | NULL   | NULL  | NULL  | NULL       | 10550176.28  | 49  |
| Books                                              | entertainments                                     | edu packmaxi #12                                   | NULL           | NULL   | NULL  | NULL  | NULL       | 11640648.04  | 33  |
| Books                                              | entertainments                                     | edu packmaxi #2                                    | NULL           | NULL   | NULL  | NULL  | NULL       | 10612401.81  | 48  |
| Books                                              | entertainments                                     | edu packmaxi #4                                    | NULL           | NULL   | NULL  | NULL  | NULL       | 9241789.20   | 91  |
| Books                                              | entertainments                                     | edu packmaxi #8                                    | NULL           | NULL   | NULL  | NULL  | NULL       | 9512710.80   | 82  |
| Books                                              | entertainments                                     | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 60260820.33  | 10  |
| Books                                              | fiction                                            | scholarunivamalg #10                               | NULL           | NULL   | NULL  | NULL  | NULL       | 9311140.68   | 90  |
| Books                                              | fiction                                            | scholarunivamalg #12                               | NULL           | NULL   | NULL  | NULL  | NULL       | 13535215.14  | 18  |
| Books                                              | fiction                                            | scholarunivamalg #2                                | NULL           | NULL   | NULL  | NULL  | NULL       | 11696270.73  | 31  |
| Books                                              | fiction                                            | scholarunivamalg #4                                | NULL           | NULL   | NULL  | NULL  | NULL       | 10441043.73  | 55  |
| Books                                              | fiction                                            | scholarunivamalg #6                                | NULL           | NULL   | NULL  | NULL  | NULL       | 11754378.95  | 29  |
| Books                                              | fiction                                            | scholarunivamalg #8                                | NULL           | NULL   | NULL  | NULL  | NULL       | 11956314.27  | 27  |
| Books                                              | fiction                                            | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 68694363.50  | 2   |
| Books                                              | history                                            | scholarmaxi #10                                    | NULL           | NULL   | NULL  | NULL  | NULL       | 11712469.75  | 30  |
| Books                                              | history                                            | scholarmaxi #12                                    | NULL           | NULL   | NULL  | NULL  | NULL       | 11214856.94  | 38  |
| Books                                              | history                                            | scholarmaxi #2                                     | NULL           | NULL   | NULL  | NULL  | NULL       | 11657069.76  | 32  |
| Books                                              | history                                            | scholarmaxi #4                                     | NULL           | NULL   | NULL  | NULL  | NULL       | 9883737.46   | 69  |
| Books                                              | history                                            | scholarmaxi #6                                     | NULL           | NULL   | NULL  | NULL  | NULL       | 8854986.67   | 99  |
| Books                                              | history                                            | scholarmaxi #8                                     | NULL           | NULL   | NULL  | NULL  | NULL       | 11766913.68  | 28  |
| Books                                              | history                                            | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 65090034.26  | 4   |
| Books                                              | home repair                                        | importounivamalg #12                               | NULL           | NULL   | NULL  | NULL  | NULL       | 9135287.47   | 96  |
| Books                                              | home repair                                        | importounivamalg #2                                | NULL           | NULL   | NULL  | NULL  | NULL       | 12923903.37  | 19  |
| Books                                              | home repair                                        | importounivamalg #4                                | NULL           | NULL   | NULL  | NULL  | NULL       | 10413292.28  | 56  |
| Books                                              | home repair                                        | importounivamalg #6                                | NULL           | NULL   | NULL  | NULL  | NULL       | 9140773.82   | 95  |
| Books                                              | home repair                                        | importounivamalg #8                                | NULL           | NULL   | NULL  | NULL  | NULL       | 12190153.17  | 25  |
| Books                                              | home repair                                        | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 62254169.42  | 7   |
| Books                                              | mystery                                            | corpunivamalg #10                                  | NULL           | NULL   | NULL  | NULL  | NULL       | 10311805.27  | 60  |
| Books                                              | mystery                                            | corpunivamalg #12                                  | NULL           | NULL   | NULL  | NULL  | NULL       | 10256474.78  | 63  |
| Books                                              | mystery                                            | corpunivamalg #4                                   | NULL           | NULL   | NULL  | NULL  | NULL       | 9664551.74   | 76  |
| Books                                              | mystery                                            | corpunivamalg #8                                   | NULL           | NULL   | NULL  | NULL  | NULL       | 9194107.46   | 92  |
| Books                                              | mystery                                            | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 54690885.03  | 17  |
| Books                                              | parenting                                          | corpmaxi #10                                       | NULL           | NULL   | NULL  | NULL  | NULL       | 9514795.85   | 81  |
| Books                                              | parenting                                          | corpmaxi #12                                       | NULL           | NULL   | NULL  | NULL  | NULL       | 9438929.84   | 87  |
| Books                                              | parenting                                          | corpmaxi #2                                        | NULL           | NULL   | NULL  | NULL  | NULL       | 9076108.57   | 97  |
| Books                                              | parenting                                          | corpmaxi #4                                        | NULL           | NULL   | NULL  | NULL  | NULL       | 10056363.09  | 67  |
| Books                                              | parenting                                          | corpmaxi #6                                        | NULL           | NULL   | NULL  | NULL  | NULL       | 9729210.43   | 74  |
| Books                                              | parenting                                          | corpmaxi #8                                        | NULL           | NULL   | NULL  | NULL  | NULL       | 9825896.57   | 71  |
| Books                                              | parenting                                          | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 57641304.35  | 13  |
| Books                                              | reference                                          | brandmaxi #10                                      | NULL           | NULL   | NULL  | NULL  | NULL       | 8840333.33   | 100 |
| Books                                              | reference                                          | brandmaxi #2                                       | NULL           | NULL   | NULL  | NULL  | NULL       | 9463484.87   | 86  |
| Books                                              | reference                                          | brandmaxi #4                                       | NULL           | NULL   | NULL  | NULL  | NULL       | 9551357.10   | 80  |
| Books                                              | reference                                          | brandmaxi #6                                       | NULL           | NULL   | NULL  | NULL  | NULL       | 10520334.77  | 51  |
| Books                                              | reference                                          | brandmaxi #8                                       | NULL           | NULL   | NULL  | NULL  | NULL       | 12519356.86  | 21  |
| Books                                              | reference                                          | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 60239170.48  | 11  |
| Books                                              | romance                                            | namelessmaxi #10                                   | NULL           | NULL   | NULL  | NULL  | NULL       | 9660441.57   | 77  |
| Books                                              | romance                                            | namelessmaxi #12                                   | NULL           | NULL   | NULL  | NULL  | NULL       | 11018788.59  | 41  |
| Books                                              | romance                                            | namelessmaxi #2                                    | NULL           | NULL   | NULL  | NULL  | NULL       | 10081918.62  | 66  |
| Books                                              | romance                                            | namelessmaxi #4                                    | NULL           | NULL   | NULL  | NULL  | NULL       | 10677901.20  | 47  |
| Books                                              | romance                                            | namelessmaxi #6                                    | NULL           | NULL   | NULL  | NULL  | NULL       | 11370446.51  | 36  |
| Books                                              | romance                                            | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 60144345.38  | 12  |
| Books                                              | science                                            | maximaxi #10                                       | NULL           | NULL   | NULL  | NULL  | NULL       | 11098560.05  | 39  |
| Books                                              | science                                            | maximaxi #2                                        | NULL           | NULL   | NULL  | NULL  | NULL       | 10495305.23  | 52  |
| Books                                              | science                                            | maximaxi #6                                        | NULL           | NULL   | NULL  | NULL  | NULL       | 10181471.60  | 64  |
| Books                                              | science                                            | maximaxi #8                                        | NULL           | NULL   | NULL  | NULL  | NULL       | 9182378.83   | 93  |
| Books                                              | science                                            | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 56626832.66  | 15  |
| Books                                              | self-help                                          | exportiunivamalg #12                               | NULL           | NULL   | NULL  | NULL  | NULL       | 9560388.27   | 79  |
| Books                                              | self-help                                          | exportiunivamalg #2                                | NULL           | NULL   | NULL  | NULL  | NULL       | 9430744.92   | 88  |
| Books                                              | self-help                                          | exportiunivamalg #4                                | NULL           | NULL   | NULL  | NULL  | NULL       | 9480352.15   | 84  |
| Books                                              | self-help                                          | exportiunivamalg #6                                | NULL           | NULL   | NULL  | NULL  | NULL       | 10314543.86  | 59  |
| Books                                              | self-help                                          | exportiunivamalg #8                                | NULL           | NULL   | NULL  | NULL  | NULL       | 8923078.14   | 98  |
| Books                                              | self-help                                          | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 56157077.35  | 16  |
| Books                                              | sports                                             | edu packunivamalg #12                              | NULL           | NULL   | NULL  | NULL  | NULL       | 10311696.90  | 61  |
| Books                                              | sports                                             | edu packunivamalg #2                               | NULL           | NULL   | NULL  | NULL  | NULL       | 10909271.94  | 44  |
| Books                                              | sports                                             | edu packunivamalg #4                               | NULL           | NULL   | NULL  | NULL  | NULL       | 9476739.40   | 85  |
| Books                                              | sports                                             | edu packunivamalg #6                               | NULL           | NULL   | NULL  | NULL  | NULL       | 12456773.99  | 22  |
| Books                                              | sports                                             | edu packunivamalg #8                               | NULL           | NULL   | NULL  | NULL  | NULL       | 12355873.70  | 24  |
| Books                                              | sports                                             | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 63902368.79  | 5   |
| Books                                              | travel                                             | univunivamalg #10                                  | NULL           | NULL   | NULL  | NULL  | NULL       | 12437958.07  | 23  |
| Books                                              | travel                                             | univunivamalg #12                                  | NULL           | NULL   | NULL  | NULL  | NULL       | 10276012.91  | 62  |
| Books                                              | travel                                             | univunivamalg #2                                   | NULL           | NULL   | NULL  | NULL  | NULL       | 10926346.58  | 43  |
| Books                                              | travel                                             | univunivamalg #4                                   | NULL           | NULL   | NULL  | NULL  | NULL       | 10089065.60  | 65  |
| Books                                              | travel                                             | univunivamalg #6                                   | NULL           | NULL   | NULL  | NULL  | NULL       | 10337909.85  | 58  |
| Books                                              | travel                                             | univunivamalg #8                                   | NULL           | NULL   | NULL  | NULL  | NULL       | 11453192.17  | 35  |
| Books                                              | travel                                             | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 65520485.18  | 3   |
| Books                                              | NULL                                               | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 977005093.21 | 1   |
+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------+--------+-------+-------+------------+--------------+-----+
