+--------------+--------------+-----------------+-----------------+-----------------+----------------+----------------+-------------------+---------+------------+---------+------------+------------+-------------+-----------+
| s_store_name | s_company_id | s_street_number | s_street_name   | s_street_type   | s_suite_number | s_city         | s_county          | s_state | s_zip      | 30 days | 31-60 days | 61-90 days | 91-120 days | >120 days |
| ation        | 1            | 8               | Cedar Maple     | ST              | Suite 320      | Mount Pleasant | Williamson County | TN      | 31933      | 419     | 379        | 203        | 226         | 468       |
| ation        | 1            | 811             | Lee             | Circle          | Suite T        | Midway         | Ziebach County    | SD      | 51904      | 487     | 344        | 220        | 210         | 455       |
| bar          | 1            | 147             | Highland        | Ln              | Suite 270      | Midway         | Ziebach County    | SD      | 51904      | 479     | 370        | 233        | 226         | 483       |
| bar          | 1            | 174             | Sycamore        | Ln              | Suite O        | Riverside      | Walker County     | AL      | 39231      | 456     | 414        | 219        | 235         | 446       |
| bar          | 1            | 175             | 4th             | Court           | Suite C        | Riverside      | Williamson County | TN      | 39231      | 462     | 344        | 215        | 243         | 471       |
| bar          | 1            | 200             | Lake            | RD              | Suite 320      | Pleasant Hill  | Ziebach County    | SD      | 53604      | 444     | 357        | 216        | 215         | 408       |
| bar          | 1            | 365             | Railroad Smith  | Boulevard       | Suite O        | Riverside      | Williamson County | TN      | 39231      | 466     | 351        | 206        | 233         | 440       |
| bar          | 1            | 543             | Twelfth         | Avenue          | Suite L        | Midway         | Ziebach County    | SD      | 51904      | 407     | 346        | 230        | 202         | 462       |
| bar          | 1            | 582             | Oak Washington  | Drive           | Suite S        | Oak Grove      | Walker County     | AL      | 38370      | 470     | 375        | 214        | 209         | 412       |
| bar          | 1            | 818             | 1st Elm         | Road            | Suite 220      | Fairview       | Walker County     | AL      | 35709      | 474     | 338        | 235        | 223         | 451       |
| bar          | 1            | 829             | Jefferson       | Lane            | Suite 110      | Mount Pleasant | Williamson County | TN      | 31933      | 380     | 358        | 208        | 228         | 438       |
| bar          | 1            | 903             | Sixth           | Court           | Suite Q        | Mount Pleasant | Ziebach County    | SD      | 51933      | 464     | 368        | 204        | 223         | 461       |
| cally        | 1            | 353             | Third View      | Drive           | Suite 380      | Oak Grove      | Williamson County | TN      | 38370      | 473     | 351        | 219        | 197         | 411       |
| cally        | 1            | 392             | 15th            | Dr.             | Suite W        | Midway         | Walker County     | AL      | 31904      | 472     | 382        | 198        | 225         | 418       |
| cally        | 1            | 409             | 4th 15th        | Drive           | Suite Q        | Mount Pleasant | Walker County     | AL      | 31933      | 448     | 388        | 210        | 238         | 467       |
| cally        | 1            | 496             | 3rd             | Ct.             | Suite E        | Mount Pleasant | Williamson County | TN      | 31933      | 466     | 371        | 206        | 226         | 433       |
| cally        | 1            | 588             | View Mill       | Court           | Suite 160      | Mount Pleasant | Ziebach County    | SD      | 51933      | 480     | 370        | 220        | 218         | 425       |
| cally        | 1            | 606             | Lake Lincoln    | Boulevard       | Suite S        | Riverside      | Williamson County | TN      | 39231      | 439     | 359        | 216        | 215         | 432       |
| cally        | 1            | 70              | 7th             | RD              | Suite 160      | Five Points    | Williamson County | TN      | 36098      | 444     | 318        | 202        | 228         | 458       |
| cally        | 1            | 956             | View Sunset     | Parkway         | Suite 250      | Riverside      | Williamson County | TN      | 39231      | 450     | 340        | 236        | 234         | 443       |
| cally        | NULL         | 688             | NULL            | Avenue          | Suite 50       | NULL           | NULL              | TN      | NULL       | 432     | 332        | 197        | 216         | 435       |
| eing         | 1            | 226             | 12th            | Lane            | Suite D        | Five Points    | Walker County     | AL      | 36098      | 432     | 392        | 215        | 246         | 417       |
| eing         | 1            | 293             | Center Main     | Lane            | Suite 200      | Fairview       | Ziebach County    | SD      | 55709      | 453     | 364        | 196        | 213         | 416       |
| eing         | 1            | 303             | Fifteenth       | RD              | Suite 340      | Pleasant Hill  | Williamson County | TN      | 33604      | 482     | 365        | 206        | 232         | 465       |
| eing         | 1            | 317             | Poplar 9th      | Pkwy            | Suite P        | Oak Grove      | Walker County     | AL      | 38370      | 421     | 396        | 242        | 216         | 452       |
| eing         | 1            | 317             | Ridge Green     | Lane            | Suite A        | Five Points    | Williamson County | TN      | 36098      | 446     | 350        | 237        | 223         | 449       |
| eing         | 1            | 408             | Spring Locust   | Wy              | Suite 340      | Five Points    | Ziebach County    | SD      | 56098      | 450     | 375        | 209        | 228         | 437       |
| eing         | 1            | 618             | Jefferson Lee   | Pkwy            | Suite W        | Oak Grove      | Ziebach County    | SD      | 58370      | 465     | 360        | 208        | 227         | 470       |
| eing         | 1            | 656             | Washington      | Dr.             | Suite 50       | Oak Grove      | Williamson County | TN      | 38370      | 427     | 358        | 209        | 243         | 459       |
| eing         | 1            | 687             | Ridge           | Blvd            | Suite P        | Pleasant Hill  | Ziebach County    | SD      | 53604      | 456     | 368        | 208        | 217         | 421       |
| ese          | 1            | 27              | Lake            | Ln              | Suite 260      | Pleasant Hill  | Williamson County | TN      | 33604      | 443     | 364        | 218        | 194         | 428       |
| ese          | 1            | 302             | Spruce          | Court           | Suite L        | Fairview       | Walker County     | AL      | 35709      | 451     | 354        | 214        | 230         | 397       |
| ese          | 1            | 313             | East            | Court           | Suite 300      | Five Points    | Walker County     | AL      | 36098      | 444     | 348        | 212        | 229         | 433       |
| ese          | 1            | 408             | Washington 1st  | Circle          | Suite 390      | Riverside      | Ziebach County    | SD      | 59231      | 457     | 343        | 225        | 229         | 448       |
| ese          | 1            | 462             | 1st Washington  | Parkway         | Suite 290      | Oak Grove      | Walker County     | AL      | 38370      | 472     | 376        | 230        | 210         | 423       |
| ese          | 1            | 487             | 7th             | Street          | Suite 0        | Five Points    | Williamson County | TN      | 36098      | 460     | 363        | 230        | 227         | 442       |
| ese          | 1            | 521             | 9th             | Ave             | Suite Y        | Fairview       | Ziebach County    | SD      | 55709      | 455     | 377        | 228        | 215         | 438       |
| ese          | 1            | 669             | Locust Spring   | Parkway         | Suite E        | Five Points    | Walker County     | AL      | 36098      | 430     | 355        | 227        | 258         | 452       |
| ese          | 1            | 924             | West            | Drive           | Suite 130      | Fairview       | Walker County     | AL      | 35709      | 432     | 357        | 213        | 217         | 426       |
| ese          | 1            | 984             | Oak             | Cir.            | Suite D        | Midway         | Williamson County | TN      | 31904      | 486     | 362        | 224        | 230         | 436       |
| n st         | 1            | 240             | Willow          | RD              | Suite 280      | Pleasant Hill  | Walker County     | AL      | 33604      | 433     | 371        | 249        | 209         | 420       |
| n st         | 1            | 49              | Locust Lake     | Way             | Suite 90       | Midway         | Walker County     | AL      | 31904      | 420     | 342        | 215        | 219         | 433       |
| n st         | 1            | 495             | Valley          | Lane            | Suite D        | Midway         | Williamson County | TN      | 31904      | 437     | 378        | 231        | 222         | 401       |
| n st         | 1            | 616             | Cedar           | Street          | Suite M        | Pleasant Hill  | Ziebach County    | SD      | 53604      | 481     | 362        | 220        | 242         | 486       |
| n st         | 1            | 638             | Cherry          | Dr.             | Suite T        | Mount Pleasant | Walker County     | AL      | 31933      | 466     | 339        | 215        | 229         | 443       |
| ought        | 1            | 150             | Maple Williams  | Lane            | Suite D        | Fairview       | Williamson County | TN      | 35709      | 458     | 391        | 195        | 220         | 446       |
| ought        | 1            | 602             | Chestnut 5th    | Boulevard       | Suite C        | Midway         | Williamson County | TN      | 31904      | 477     | 364        | 202        | 260         | 443       |
| ought        | 1            | 75              | 2nd Oak         | Pkwy            | Suite C        | Midway         | Williamson County | TN      | 31904      | 418     | 335        | 179        | 200         | 476       |
| ought        | 1            | 767             | Spring          | Wy              | Suite 250      | Midway         | Ziebach County    | SD      | 51904      | 436     | 348        | 232        | 212         | 467       |
| ought        | 1            | 934             | Hill            | Circle          | Suite 490      | Fairview       | Ziebach County    | SD      | 55709      | 451     | 353        | 244        | 191         | 434       |
| pri          | 1            | 392             | Jefferson       | Ln              | Suite K        | Five Points    | Williamson County | TN      | 36098      | 441     | 353        | 210        | 235         | 443       |
| pri          | 1            | 728             | Adams           | Way             | Suite T        | Oak Grove      | Walker County     | AL      | 38370      | 465     | 367        | 219        | 249         | 465       |
| pri          | 1            | 84              | First           | Cir.            | Suite 180      | Midway         | Ziebach County    | SD      | 51904      | 439     | 356        | 247        | 223         | 501       |
| pri          | 1            | 872             | Washington      | Pkwy            | Suite 70       | Riverside      | Walker County     | AL      | 39231      | 458     | 373        | 209        | 239         | 436       |
| pri          | 1            | 889             | River Wilson    | Avenue          | Suite 210      | Fairview       | Walker County     | AL      | 35709      | 440     | 357        | 209        | 246         | 439       |
+--------------+--------------+-----------------+-----------------+-----------------+----------------+----------------+-------------------+---------+------------+---------+------------+------------+-------------+-----------+
