+--------------+------------+----------------+-------+-----------+----------------------+-------------------+----------------+---------------------------+------------------------+
| ss_sold_year | ss_item_sk | ss_customer_sk | ratio | store_qty | store_wholesale_cost | store_sales_price | other_chan_qty | other_chan_wholesale_cost | other_chan_sales_price |
| 2000         | 149        | 74617          | 1.69  | 59        | 92.83                | 52.85             | 35             | 1.00                      | 0.16                   |
| 2000         | 149        | 281944         | 0.68  | 36        | 57.94                | 11.35             | 53             | 50.83                     | 42.93                  |
| 2000         | 149        | 590755         | 0.69  | 68        | 16.82                | 20.99             | 99             | 63.32                     | 1.22                   |
| 2000         | 155        | 446477         | 6.92  | 90        | 71.46                | 32.60             | 13             | 26.78                     | 25.85                  |
| 2000         | 155        | 745354         | 2.26  | 79        | 47.85                | 7.36              | 35             | 96.16                     | 188.56                 |
| 2000         | 164        | 363923         | 0.09  | 8         | 14.93                | 22.52             | 88             | 52.19                     | 40.44                  |
| 2000         | 167        | 510997         | 0.22  | 13        | 69.63                | 96.80             | 58             | 6.20                      | 1.07                   |
| 2000         | 173        | 158898         | 7.67  | 69        | 16.44                | 3.84              | 9              | 76.96                     | 30.55                  |
| 2000         | 175        | 303824         | 7.44  | 67        | 64.86                | 17.53             | 9              | 61.74                     | 29.59                  |
| 2000         | 176        | 648700         | 9.75  | 39        | 25.32                | 3.53              | 4              | 96.10                     | 21.83                  |
| 2000         | 203        | 336396         | 0.31  | 14        | 98.24                | 119.45            | 45             | 80.91                     | 61.79                  |
| 2000         | 205        | 581182         | 0.64  | 16        | 59.09                | 53.23             | 25             | 72.56                     | 43.09                  |
| 2000         | 206        | 595021         | NULL  | NULL      | NULL                 | NULL              | 52             | 83.81                     | 85.82                  |
| 2000         | 209        | 79534          | 0.64  | 41        | 31.63                | 30.33             | 64             | 19.35                     | 21.09                  |
| 2000         | 209        | 403896         | 1.9   | 55        | 79.39                | 37.86             | 29             | 85.27                     | 41.10                  |
| 2000         | 211        | 589675         | 4.47  | 67        | 45.27                | 6.53              | 15             | 56.54                     | 28.78                  |
| 2000         | 215        | 517727         | 0.91  | 64        | 51.34                | 44.31             | 70             | 37.70                     | 47.05                  |
| 2000         | 215        | 563960         | 0.49  | 21        | 4.67                 | 0.75              | 43             | 98.14                     | 196.07                 |
| 2000         | 218        | 243378         | 1.17  | 54        | 8.63                 | 1.73              | 46             | 58.71                     | 38.04                  |
| 2000         | 218        | 549384         | 2.05  | 39        | 46.13                | 20.58             | 19             | 21.43                     | 19.78                  |
| 2000         | 218        | 607985         | 0.12  | 9         | 29.35                | 25.03             | 74             | 45.25                     | 3.93                   |
| 2000         | 223        | 406479         | 2.26  | 52        | 55.76                | 68.13             | 23             | 86.43                     | 111.62                 |
| 2000         | 223        | 596015         | 0.74  | 57        | 6.13                 | 7.32              | 77             | 61.00                     | 23.28                  |
| 2000         | 227        | 494619         | 1.56  | 95        | 74.68                | 38.68             | 61             | 72.97                     | 128.24                 |
| 2000         | 229        | 77621          | 0.63  | 59        | 20.97                | 7.63              | 94             | 14.28                     | 8.91                   |
| 2000         | 229        | 155073         | 0.16  | 14        | 91.77                | 24.49             | 88             | 56.37                     | 68.34                  |
| 2000         | 230        | 128679         | 3.84  | 96        | 62.44                | 3.02              | 25             | 98.22                     | 141.90                 |
| 2000         | 230        | 170666         | 0.46  | 36        | 37.75                | 53.08             | 79             | 68.03                     | 21.40                  |
| 2000         | 230        | 537022         | 0.54  | 54        | 8.08                 | 6.45              | 100            | 16.28                     | 5.19                   |
| 2000         | 233        | 386948         | 0.81  | 77        | 23.07                | 22.06             | 95             | 18.17                     | 19.81                  |
| 2000         | 239        | 83381          | 0.92  | 84        | 22.25                | 10.34             | 91             | 25.28                     | 25.55                  |
| 2000         | 239        | 336262         | 0.52  | 46        | 69.97                | 35.13             | 88             | 4.84                      | 8.41                   |
| 2000         | 241        | 416816         | 3.24  | 94        | 46.44                | 41.07             | 29             | 49.34                     | 19.49                  |
| 2000         | 242        | 61405          | 22.67 | 68        | 67.22                | 76.69             | 3              | 56.47                     | 35.52                  |
| 2000         | 251        | 30829          | 0.46  | 31        | 92.35                | 98.62             | 68             | 63.59                     | 14.57                  |
| 2000         | 251        | 717491         | 0.26  | 10        | 79.91                | 50.63             | 38             | 77.51                     | 112.54                 |
| 2000         | 259        | 377489         | 0.2   | 16        | 67.19                | 62.67             | 81             | 44.49                     | 60.07                  |
| 2000         | 259        | 447240         | 0.65  | 62        | 86.31                | 76.58             | 96             | 14.74                     | 24.15                  |
| 2000         | 260        | 374087         | 1.76  | 72        | 89.44                | 123.15            | 41             | 20.73                     | 46.67                  |
| 2000         | 265        | 453797         | 13.33 | 80        | 49.62                | 28.44             | 6              | 41.82                     | 39.20                  |
| 2000         | 275        | 595138         | 1.08  | 79        | 57.26                | 24.31             | 73             | 52.36                     | 137.76                 |
| 2000         | 283        | 553768         | 6.64  | 93        | 52.65                | 94.03             | 14             | 29.50                     | 38.61                  |
| 2000         | 284        | 66050          | 10.88 | 87        | 3.37                 | 2.03              | 8              | 12.38                     | 0.35                   |
| 2000         | 284        | 670316         | 2.17  | 87        | 50.56                | 0.00              | 40             | 51.00                     | 102.32                 |
| 2000         | 289        | 354500         | 2.46  | 96        | 64.92                | 12.50             | 39             | 42.17                     | 63.41                  |
| 2000         | 293        | 43696          | 3.56  | 96        | 66.55                | 22.19             | 27             | 27.19                     | 46.12                  |
| 2000         | 293        | 173236         | 2.07  | 89        | 40.32                | 37.84             | 43             | 81.30                     | 37.02                  |
| 2000         | 296        | 225343         | 0.46  | 26        | 36.19                | 0.89              | 56             | 90.96                     | 84.33                  |
| 2000         | 299        | 78070          | 2.83  | 34        | 60.64                | 61.03             | 12             | 72.75                     | 110.09                 |
| 2000         | 299        | 523954         | 1.37  | 59        | 98.53                | 12.59             | 43             | 93.07                     | 58.86                  |
| 2000         | 301        | 625066         | 10.0  | 10        | 86.92                | 61.26             | 1              | 38.09                     | 5.75                   |
| 2000         | 301        | 755580         | 2.24  | 47        | 59.01                | 64.60             | 21             | 91.60                     | 189.93                 |
| 2000         | 302        | 291903         | 2.78  | 64        | 26.04                | 0.00              | 23             | 58.78                     | 67.44                  |
| 2000         | 308        | 315150         | 3.24  | 94        | 63.84                | 46.13             | 29             | 24.63                     | 17.18                  |
| 2000         | 317        | 372084         | 0.74  | 23        | 29.66                | 4.69              | 31             | 57.08                     | 54.16                  |
| 2000         | 317        | 731758         | 0.44  | 35        | 48.39                | 56.86             | 80             | 23.68                     | 17.78                  |
| 2000         | 319        | 76198          | 1.26  | 43        | 37.18                | 40.35             | 34             | 97.45                     | 56.44                  |
| 2000         | 320        | 253254         | 1.08  | 67        | 48.97                | 50.16             | 62             | 73.95                     | 0.00                   |
| 2000         | 320        | 567043         | 1.46  | 67        | 93.54                | 71.79             | 46             | 6.97                      | 16.02                  |
| 2000         | 320        | 705262         | 4.69  | 75        | 53.81                | 92.57             | 16             | 50.83                     | 80.81                  |
| 2000         | 325        | 493407         | 7.86  | 55        | 80.65                | 67.06             | 7              | 84.44                     | 106.36                 |
+--------------+------------+----------------+-------+-----------+----------------------+-------------------+----------------+---------------------------+------------------------+
