+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+---------------+
| i_product_name                                     | i_brand                                            | i_class                                            | i_category                                         | qoh           |
| oughtantipriantiable                               | edu packscholar #2                                 | NULL                                               | NULL                                               | 449.105113636 |
| oughtantipriantiable                               | NULL                                               | NULL                                               | NULL                                               | 449.105113636 |
| oughtesecallyoughtpri                              | importobrand #2                                    | bedding                                            | Home                                               | 449.367346939 |
| oughtesecallyoughtpri                              | importobrand #2                                    | bedding                                            | NULL                                               | 449.367346939 |
| oughtesecallyoughtpri                              | importobrand #2                                    | NULL                                               | NULL                                               | 449.367346939 |
| oughtesecallyoughtpri                              | NULL                                               | NULL                                               | NULL                                               | 449.367346939 |
| antiantioughtbaranti                               | scholarbrand #4                                    | custom                                             | Jewelry                                            | 449.776811594 |
| antiantioughtbaranti                               | scholarbrand #4                                    | custom                                             | NULL                                               | 449.776811594 |
| antiantioughtbaranti                               | scholarbrand #4                                    | NULL                                               | NULL                                               | 449.776811594 |
| antiantioughtbaranti                               | NULL                                               | NULL                                               | NULL                                               | 449.776811594 |
| pripribarablepri                                   | importobrand #2                                    | costume                                            | Jewelry                                            | 449.87826087  |
| pripribarablepri                                   | importobrand #2                                    | costume                                            | NULL                                               | 449.87826087  |
| pripribarablepri                                   | importobrand #2                                    | NULL                                               | NULL                                               | 449.87826087  |
| pripribarablepri                                   | NULL                                               | NULL                                               | NULL                                               | 449.87826087  |
| n steingesen st                                    | corpbrand #10                                      | rugs                                               | Home                                               | 449.916666667 |
| n steingesen st                                    | corpbrand #10                                      | rugs                                               | NULL                                               | 449.916666667 |
| n steingesen st                                    | corpbrand #10                                      | NULL                                               | NULL                                               | 449.916666667 |
| n steingesen st                                    | NULL                                               | NULL                                               | NULL                                               | 449.916666667 |
| antiantibarantiought                               | amalgcorp #8                                       | birdal                                             | Jewelry                                            | 450.281609195 |
| antiantibarantiought                               | amalgcorp #8                                       | birdal                                             | NULL                                               | 450.281609195 |
| antiantibarantiought                               | amalgcorp #8                                       | NULL                                               | NULL                                               | 450.281609195 |
| antiantibarantiought                               | NULL                                               | NULL                                               | NULL                                               | 450.281609195 |
| ationn stableeseought                              | importoscholar #2                                  | country                                            | Music                                              | 450.459064327 |
| ationn stableeseought                              | importoscholar #2                                  | country                                            | NULL                                               | 450.459064327 |
| ationn stableeseought                              | importoscholar #2                                  | NULL                                               | NULL                                               | 450.459064327 |
| ationn stableeseought                              | NULL                                               | NULL                                               | NULL                                               | 450.459064327 |
| ationpripriable                                    | scholarnameless #8                                 | tables                                             | Home                                               | 450.597142857 |
| ationpripriable                                    | scholarnameless #8                                 | tables                                             | NULL                                               | 450.597142857 |
| ationpripriable                                    | scholarnameless #8                                 | NULL                                               | NULL                                               | 450.597142857 |
| ationpripriable                                    | NULL                                               | NULL                                               | NULL                                               | 450.597142857 |
| oughtn stbarpriought                               | amalgscholar #2                                    | rock                                               | Music                                              | 450.628242075 |
| oughtn stbarpriought                               | amalgscholar #2                                    | rock                                               | NULL                                               | 450.628242075 |
| oughtn stbarpriought                               | amalgscholar #2                                    | NULL                                               | NULL                                               | 450.628242075 |
| oughtn stbarpriought                               | NULL                                               | NULL                                               | NULL                                               | 450.628242075 |
| ationeseantin stable                               | exportiunivamalg #4                                | self-help                                          | Books                                              | 450.709677419 |
| ationeseantin stable                               | exportiunivamalg #4                                | self-help                                          | NULL                                               | 450.709677419 |
| ationeseantin stable                               | exportiunivamalg #4                                | NULL                                               | NULL                                               | 450.709677419 |
| ationeseantin stable                               | NULL                                               | NULL                                               | NULL                                               | 450.709677419 |
| prieingableable                                    | univunivamalg #4                                   | travel                                             | Books                                              | 451.183615819 |
| prieingableable                                    | univunivamalg #4                                   | travel                                             | NULL                                               | 451.183615819 |
| prieingableable                                    | univunivamalg #4                                   | NULL                                               | NULL                                               | 451.183615819 |
| prieingableable                                    | NULL                                               | NULL                                               | NULL                                               | 451.183615819 |
| pricallyationpriable                               | univunivamalg #4                                   | travel                                             | Books                                              | 451.363112392 |
| pricallyationpriable                               | univunivamalg #4                                   | travel                                             | NULL                                               | 451.363112392 |
| pricallyationpriable                               | univunivamalg #4                                   | NULL                                               | NULL                                               | 451.363112392 |
| pricallyationpriable                               | NULL                                               | NULL                                               | NULL                                               | 451.363112392 |
| oughtpriationantianti                              | exportischolar #2                                  | pop                                                | Music                                              | 451.83090379  |
| oughtpriationantianti                              | exportischolar #2                                  | pop                                                | NULL                                               | 451.83090379  |
| oughtpriationantianti                              | exportischolar #2                                  | NULL                                               | NULL                                               | 451.83090379  |
| oughtpriationantianti                              | NULL                                               | NULL                                               | NULL                                               | 451.83090379  |
+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+---------------+
