+---------------------------------+--------------------------------+----------+---------+------------+------------+-------------+-----------+
| substr(w_warehouse_name, 1, 20) | sm_type                        | web_name | 30 days | 31-60 days | 61-90 days | 91-120 days | >120 days |
| Conventional childr             | REGULAR                        | site_3   | 9508    | 9576       | 9615       | 9596        | 0         |
| Conventional childr             | TWO DAY                        | site_0   | 9621    | 9821       | 9678       | 9760        | 0         |
| Conventional childr             | TWO DAY                        | site_1   | 9806    | 9640       | 9673       | 9574        | 0         |
| Conventional childr             | TWO DAY                        | site_2   | 9333    | 9504       | 9459       | 9693        | 0         |
| Conventional childr             | TWO DAY                        | site_3   | 9662    | 9727       | 9510       | 9724        | 0         |
| Doors canno                     | EXPRESS                        | site_0   | 12696   | 12603      | 12661      | 12973       | 0         |
| Doors canno                     | EXPRESS                        | site_1   | 12662   | 12788      | 12779      | 13060       | 0         |
| Doors canno                     | EXPRESS                        | site_2   | 12834   | 12679      | 12684      | 12786       | 0         |
| Doors canno                     | EXPRESS                        | site_3   | 12602   | 12775      | 12881      | 12608       | 0         |
| Doors canno                     | LIBRARY                        | site_0   | 9504    | 9575       | 9691       | 9549        | 0         |
| Doors canno                     | LIBRARY                        | site_1   | 9738    | 9716       | 9640       | 9670        | 0         |
| Doors canno                     | LIBRARY                        | site_2   | 9586    | 9518       | 9658       | 9747        | 0         |
| Doors canno                     | LIBRARY                        | site_3   | 9671    | 9461       | 9500       | 9492        | 0         |
| Doors canno                     | NEXT DAY                       | site_0   | 12710   | 12745      | 12580      | 12661       | 0         |
| Doors canno                     | NEXT DAY                       | site_1   | 12718   | 12722      | 12997      | 12945       | 0         |
| Doors canno                     | NEXT DAY                       | site_2   | 12771   | 12678      | 12757      | 12899       | 0         |
| Doors canno                     | NEXT DAY                       | site_3   | 12909   | 12806      | 12869      | 12909       | 0         |
| Doors canno                     | OVERNIGHT                      | site_0   | 9637    | 9520       | 9431       | 9505        | 0         |
| Doors canno                     | OVERNIGHT                      | site_1   | 9509    | 9367       | 9590       | 9489        | 0         |
| Doors canno                     | OVERNIGHT                      | site_2   | 9617    | 9433       | 9573       | 9669        | 0         |
| Doors canno                     | OVERNIGHT                      | site_3   | 9519    | 9595       | 9588       | 9505        | 0         |
| Doors canno                     | REGULAR                        | site_0   | 9674    | 9634       | 9531       | 9588        | 0         |
| Doors canno                     | REGULAR                        | site_1   | 9668    | 9732       | 9526       | 9773        | 0         |
| Doors canno                     | REGULAR                        | site_2   | 9536    | 9584       | 9504       | 9720        | 0         |
| Doors canno                     | REGULAR                        | site_3   | 9688    | 9451       | 9543       | 9756        | 0         |
| Doors canno                     | TWO DAY                        | site_0   | 9656    | 9576       | 9552       | 9714        | 0         |
| Doors canno                     | TWO DAY                        | site_1   | 9635    | 9694       | 9579       | 9749        | 0         |
| Doors canno                     | TWO DAY                        | site_2   | 9474    | 9589       | 9659       | 9578        | 0         |
| Doors canno                     | TWO DAY                        | site_3   | 9464    | 9761       | 9690       | 9569        | 0         |
| Important issues liv            | EXPRESS                        | site_0   | 12831   | 12939      | 12828      | 12836       | 0         |
| Important issues liv            | EXPRESS                        | site_1   | 12779   | 12679      | 12797      | 12877       | 0         |
| Important issues liv            | EXPRESS                        | site_2   | 12981   | 12757      | 12825      | 12785       | 0         |
| Important issues liv            | EXPRESS                        | site_3   | 12704   | 12780      | 12798      | 12789       | 0         |
| Important issues liv            | LIBRARY                        | site_0   | 9805    | 9782       | 9749       | 9557        | 0         |
| Important issues liv            | LIBRARY                        | site_1   | 9793    | 9564       | 9777       | 9614        | 0         |
| Important issues liv            | LIBRARY                        | site_2   | 9533    | 9558       | 9757       | 9544        | 0         |
| Important issues liv            | LIBRARY                        | site_3   | 9751    | 9736       | 9484       | 9656        | 0         |
| Important issues liv            | NEXT DAY                       | site_0   | 12755   | 12725      | 12960      | 12779       | 0         |
| Important issues liv            | NEXT DAY                       | site_1   | 12848   | 13008      | 12641      | 12886       | 0         |
| Important issues liv            | NEXT DAY                       | site_2   | 12754   | 12763      | 12917      | 12832       | 0         |
| Important issues liv            | NEXT DAY                       | site_3   | 12780   | 12803      | 12898      | 12872       | 0         |
| Important issues liv            | OVERNIGHT                      | site_0   | 9566    | 9637       | 9654       | 9762        | 0         |
| Important issues liv            | OVERNIGHT                      | site_1   | 9520    | 9595       | 9627       | 9617        | 0         |
| Important issues liv            | OVERNIGHT                      | site_2   | 9651    | 9662       | 9586       | 9650        | 0         |
| Important issues liv            | OVERNIGHT                      | site_3   | 9258    | 9567       | 9596       | 9869        | 0         |
| Important issues liv            | REGULAR                        | site_0   | 9574    | 9704       | 9653       | 9604        | 0         |
| Important issues liv            | REGULAR                        | site_1   | 9572    | 9642       | 9686       | 9516        | 0         |
| Important issues liv            | REGULAR                        | site_2   | 9621    | 9536       | 9528       | 9639        | 0         |
| Important issues liv            | REGULAR                        | site_3   | 9671    | 9618       | 9711       | 9536        | 0         |
| Important issues liv            | TWO DAY                        | site_0   | 9658    | 9469       | 9562       | 9540        | 0         |
| Important issues liv            | TWO DAY                        | site_1   | 9490    | 9477       | 9514       | 9634        | 0         |
| Important issues liv            | TWO DAY                        | site_2   | 9650    | 9629       | 9630       | 9572        | 0         |
| Important issues liv            | TWO DAY                        | site_3   | 9518    | 9701       | 9630       | 9632        | 0         |
| Local, mass universi            | EXPRESS                        | site_0   | 12697   | 12792      | 12834      | 12630       | 0         |
| Local, mass universi            | EXPRESS                        | site_1   | 12957   | 12744      | 12676      | 12770       | 0         |
| Local, mass universi            | EXPRESS                        | site_2   | 12678   | 12972      | 12743      | 12777       | 0         |
| Local, mass universi            | EXPRESS                        | site_3   | 12862   | 12668      | 12820      | 12658       | 0         |
+---------------------------------+--------------------------------+----------+---------+------------+------------+-------------+-----------+
