+--------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------+-----------------+------------------+----------------------------------------------------+
| s_store_name | i_item_desc                                                                                                                                                                                             | revenue | i_current_price | i_wholesale_cost | i_brand                                            |
| able         | Communities used to relocate clearly strange, new walls; european, rich championships make current depths. Sure studies may reflect only instinctively old forces. Foreign, diverse                     | 24.60   | 4.11            | 4.11             | amalgunivamalg #14                                 |
| able         | Comparable, sad schemes must take now successful weeks. Local, empty subje                                                                                                                              | 30.87   | 1.82            | 1.56             | importoedu pack #2                                 |
| able         | Complete, increased children serve namely able theories. Well new conditions make within a levels. Positive clouds might not ge                                                                         | 44.33   | 4.32            | 1.85             | exportiimporto #2                                  |
| able         | Complex stairs blow now. Critics would clear even so before the numbers. Labour, original producers read please interests; industrial mistakes can a                                                    | 26.11   | 4.91            | 4.22             | exportiimporto #2                                  |
| able         | Complex, large elements will not remember. Very level hands secure still growing strategies. Reforms throw politically european journalists. Religious, likely lines would tell either possible,        | 32.81   | 7.72            | 3.70             | brandcorp #6                                       |
| able         | Computers ought to get apart f                                                                                                                                                                          | 15.11   | 1.01            | 0.63             | amalgscholar #2                                    |
| able         | Concerned, full customs will apply yet carefully good addresses; authorities ought to face names. New police know                                                                                       | 22.77   | 29.53           | 23.03            | univbrand #6                                       |
| able         | Concerned, original weeks come in a operations. Other signs play then on                                                                                                                                | 39.59   | 7.21            | 2.66             | exportibrand #10                                   |
| able         | Cons                                                                                                                                                                                                    | 39.90   | 67.67           | 46.69            | brandbrand #4                                      |
| able         | Conventionally regional views will not see more good, digital purposes. Usu                                                                                                                             | 41.12   | 3.30            | 2.80             | exportiimporto #2                                  |
| able         | Crucial cells would receive secondly star, available months. Remaining, fair schools love damp missiles. Chief gues                                                                                     | 19.54   | 3.91            | 1.64             | edu packscholar #2                                 |
| able         | Cultural requirements shall identify below labour years; safe, wealthy ch                                                                                                                               | 40.94   | 92.84           | 11.27            | amalgbrand #2                                      |
| able         | Cultural variations combine under continuous attacks. Costs breathe so historical, junior cars. Specific errors guide. Only present skills might put deeply. Other c                                    | 44.26   | 4.69            | 17.46            | exportiedu pack #2                                 |
| able         | Dark, detailed studies make above concepts. At lea                                                                                                                                                      | 44.22   | 0.42            | 0.27             | amalgexporti #2                                    |
| able         | Dead leads ought to behave into a affairs; engines can write main                                                                                                                                       | 27.08   | 7.63            | 2.44             | amalgimporto #2                                    |
| able         | Delighted, high demands used to know. Public children                                                                                                                                                   | 27.70   | 7.54            | 5.42             | corpcorp #6                                        |
| able         | Different, european rules go al                                                                                                                                                                         | 12.51   | 1.40            | 0.86             | amalgamalg #2                                      |
| able         | Directly violent qualifications could not hold properly exceptionally large animals. Fu                                                                                                                 | 38.12   | 7.09            | 2.48             | amalgamalg #2                                      |
| able         | Doctors fix completely                                                                                                                                                                                  | 37.62   | 3.25            | 28.36            | amalgedu pack #2                                   |
| able         | Domestic eggs punish as a directions. Facts might assist so here front options. Insects could chair often. Unlike authorities marry inev                                                                | 34.06   | 4.44            | 3.41             | exportiexporti #2                                  |
| able         | Duties hire quick from a children. Personal women shall not keep anywhere known, grey conditions. At least able supporters come serious, private seats. Finge                                           | 40.09   | 5.59            | 3.52             | importoscholar #2                                  |
| able         | E                                                                                                                                                                                                       | 29.33   | 3.55            | 3.12             | namelessunivamalg #6                               |
| able         | Early products serve even stories. Restrictions might decide most questions. Major, internal councils might consider thus comparable connections. Secondary prices diminish local, different tow        | 38.01   | 8.67            | 4.68             | exportibrand #8                                    |
| able         | Easy, social authors improve always in a materials. Co                                                                                                                                                  | 0.54    | 4.11            | 2.42             | amalgamalg #2                                      |
| able         | Economic animals used to sit yet doctors; terms ought to break enormous ages. External questions attain crossly at the ambitions; parts ought to believe immensely for the areas. Months like reall     | 39.20   | 4.44            | 1.55             | edu packexporti #2                                 |
| able         | Elsewhere serious clothes hear even blue ways. Weekly plants suit merely very customers. Doubts approach too national players. Then local thought                                                       | 37.32   | 1.88            | 0.65             | brandnameless #10                                  |
| able         | Engineers would not take at all in order consistent groups; recen                                                                                                                                       | 14.07   | 0.66            | 0.34             | importoamalg #2                                    |
| able         | English authorities can take; sometimes mental eyes know quickly; immediate jobs should think below critical villages. Red, international diff                                                          | 42.45   | 1.36            | 0.96             | importonameless #8                                 |
| able         | Especially atomic transactions explain angrily full, white relations. Ordinary conflicts should enforce for example. Trends w                                                                           | 44.54   | 0.68            | 1.33             | edu packunivamalg #8                               |
| able         | Even important terms could admit abroad officers. Solid, able women main                                                                                                                                | 40.31   | 1.05            | 1.82             | edu packedu pack #2                                |
| able         | Even important things could profit really soviet, early periods. Entire weeks look only social levels. As asleep attitudes ought to afford still in addition beautiful sorts. Men weep countries. Vital | 40.37   | 0.73            | 1.56             | exporticorp #8                                     |
| able         | Events find over. For example other names create together various waves. Very economic reasons learn probably models. Rich systems believe more models; reactions ma                                    | 40.04   | 3.22            | 2.54             | edu packscholar #2                                 |
| able         | Everywhere capable metals remain so married letters. Special, new places construct by a years. Social, aware services ought to increase on a women                                                      | 32.43   | 2.32            | 4.19             | edu packimporto #2                                 |
| able         | Expensive, correct drivers can act quite friends. Personally single months seek even surprise                                                                                                           | 37.56   | 4.90            | 4.41             | exportiunivamalg #2                                |
| able         | Experimental concentrations should not get at least. Estimated, scottish relations follow more progressive countries; elsewhere loose                                                                   | 43.83   | 9.77            | 1.80             | exportischolar #2                                  |
| able         | Farms will                                                                                                                                                                                              | 35.60   | 5.30            | 4.45             | importonameless #10                                |
| able         | Fat, big universities want at last resulting boys. General names might tick further other, absolute participants. Above available roots used to provide well common united terms. Continuing gues       | 35.09   | 4.62            | 0.67             | univbrand #2                                       |
| able         | Federal, fine feet might involve very different figures. As emotional pounds shall un                                                                                                                   | 25.53   | 8.46            | 5.83             | amalgedu pack #2                                   |
| able         | Final activities hope alongside p                                                                                                                                                                       | 35.31   | 7.90            | 4.26             | importoedu pack #2                                 |
| able         | Financial citizens make widely sometimes professional purposes. Just british affairs might go oddly well-known classes. Most long se                                                                    | 44.46   | 2.96            | 2.57             | amalgedu pack #2                                   |
| able         | Full, narrow outcomes shall not seem so perfect,                                                                                                                                                        | 43.49   | 17.11           | 9.41             | univnameless #6                                    |
| able         | Generally heavy pubs drink equal, old winners. Various attempts find naturally to a elections. Typical, bright students may buy much past, grateful championships.                                      | 18.57   | 60.09           | 10.57            | exportischolar #2                                  |
| able         | Generally new meals can think more so major men. Persistent paths retain even open, yellow practices. Soft, full talks work other styles. Almo                                                          | 43.31   | 1.33            | 3.72             | maxinameless #8                                    |
| able         | Good opponents like thus years. Great attitudes must not give smooth, free authorities. Rather rare                                                                                                     | 12.28   | 9.23            | 7.10             | edu packamalgamalg #17                             |
| able         | Good pp. could pass pas                                                                                                                                                                                 | 7.42    | 3.51            | 2.49             | edu packimporto #2                                 |
| able         | Good things consolidate bright standards. Convincing days will suit soon again little prisoners; moreover inc boxes enable. General years assis                                                         | 44.43   | 1.91            | 1.43             | exportiamalg #2                                    |
| able         | Good, successful                                                                                                                                                                                        | 16.72   | 7.62            | 0.37             | importonameless #8                                 |
| able         | Great adults recognize surely central judges. Centuries shall not continue. Actively short areas must not take around tender successful structures. Succ                                                | 26.93   | 44.72           | 33.98            | edu packscholar #2                                 |
+--------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------+-----------------+------------------+----------------------------------------------------+
