+---------+------------+-----------+-------------+----------------+------------------+
| item_sk | d_date     | web_sales | store_sales | web_cumulative | store_cumulative |
| 125     | 2001-01-08 | NULL      | 357.71      | 399.83         | 357.71           |
| 125     | 2001-01-10 | NULL      | 357.71      | 399.83         | 357.71           |
| 125     | 2001-01-11 | NULL      | 396.54      | 399.83         | 396.54           |
| 131     | 2001-01-01 | 299.11    | 166.79      | 299.11         | 166.79           |
| 131     | 2001-01-02 | NULL      | 208.82      | 299.11         | 208.82           |
| 131     | 2001-01-04 | 305.97    | NULL        | 305.97         | 208.82           |
| 131     | 2001-01-05 | 443.38    | 363.76      | 443.38         | 363.76           |
| 131     | 2001-01-15 | 846.78    | 811.03      | 846.78         | 811.03           |
| 135     | 2001-01-02 | 258.88    | 190.80      | 258.88         | 190.80           |
| 135     | 2001-01-03 | NULL      | 231.80      | 258.88         | 231.80           |
| 139     | 2001-01-09 | 472.25    | 404.01      | 472.25         | 404.01           |
| 143     | 2001-01-01 | 164.87    | 38.71       | 164.87         | 38.71            |
| 143     | 2001-01-02 | 216.95    | 60.68       | 216.95         | 60.68            |
| 143     | 2001-01-03 | NULL      | 179.11      | 216.95         | 179.11           |
| 143     | 2001-01-04 | 290.87    | 195.57      | 290.87         | 195.57           |
| 143     | 2001-01-07 | 420.30    | 403.32      | 420.30         | 403.32           |
| 143     | 2001-01-08 | NULL      | 403.32      | 420.30         | 403.32           |
| 147     | 2001-01-01 | 337.21    | 57.63       | 337.21         | 57.63            |
| 147     | 2001-01-02 | 342.88    | 83.47       | 342.88         | 83.47            |
| 153     | 2001-01-07 | 417.84    | 345.63      | 417.84         | 345.63           |
| 153     | 2001-01-11 | 576.63    | 533.55      | 576.63         | 533.55           |
| 153     | 2001-01-12 | 580.17    | 554.73      | 580.17         | 554.73           |
| 153     | 2001-01-13 | 609.09    | 584.86      | 609.09         | 584.86           |
| 153     | 2001-01-14 | 708.32    | 669.22      | 708.32         | 669.22           |
| 153     | 2001-01-15 | 901.59    | 710.37      | 901.59         | 710.37           |
| 153     | 2001-01-17 | NULL      | 745.28      | 901.59         | 745.28           |
| 173     | 2001-01-01 | 109.86    | 2.53        | 109.86         | 2.53             |
| 173     | 2001-01-02 | NULL      | 19.21       | 109.86         | 19.21            |
| 173     | 2001-01-03 | NULL      | 19.21       | 109.86         | 19.21            |
| 173     | 2001-01-04 | 173.88    | NULL        | 173.88         | 19.21            |
| 173     | 2001-01-05 | NULL      | 66.34       | 173.88         | 66.34            |
| 173     | 2001-01-06 | NULL      | 127.05      | 173.88         | 127.05           |
| 177     | 2001-01-01 | 225.52    | 178.55      | 225.52         | 178.55           |
| 207     | 2001-01-18 | 832.19    | NULL        | 832.19         | 737.53           |
| 207     | 2001-01-19 | NULL      | 808.14      | 832.19         | 808.14           |
| 209     | 2001-01-01 | 185.05    | 100.15      | 185.05         | 100.15           |
+---------+------------+-----------+-------------+----------------+------------------+
