+-------------------+--------+-------+-------------------+-----------+-----------+-----------+
| cc_name           | d_year | d_moy | avg_monthly_sales | sum_sales | psum      | nsum      |
| Mid Atlantic      | 2000   | 2     | 205920.705000     | 114055.24 | 114273.72 | 119938.61 |
| California        | 2000   | 1     | 207188.845000     | 115393.99 | 215703.59 | 113518.56 |
| Mid Atlantic      | 2000   | 1     | 205920.705000     | 114273.72 | 204785.14 | 114055.24 |
| California        | 2000   | 2     | 201492.116667     | 110022.63 | 116365.31 | 121604.70 |
| Pacific Northwest | 2000   | 2     | 199639.300000     | 108201.36 | 117636.89 | 115437.39 |
| NY Metro          | 2000   | 1     | 206107.181667     | 114688.57 | 200892.78 | 117155.66 |
| Pacific Northwest | 2000   | 6     | 206303.085000     | 115057.17 | 115451.37 | 115430.07 |
| Pacific Northwest | 2000   | 2     | 198107.976667     | 106895.34 | 118714.35 | 117147.96 |
| North Midwest     | 2000   | 2     | 199433.824167     | 108242.39 | 117282.18 | 120128.83 |
| California        | 2000   | 7     | 201492.116667     | 110369.91 | 113775.26 | 280360.88 |
| California        | 2000   | 2     | 196738.581667     | 105658.35 | 114462.44 | 122713.41 |
| NY Metro          | 2000   | 6     | 207716.515000     | 116641.07 | 119611.27 | 124966.28 |
| Mid Atlantic      | 2000   | 4     | 205468.493333     | 114438.00 | 118856.34 | 118868.72 |
| Mid Atlantic      | 2000   | 4     | 199175.670833     | 108278.36 | 116353.36 | 115931.23 |
| Pacific Northwest | 2000   | 7     | 206303.085000     | 115430.07 | 115057.17 | 278747.80 |
| North Midwest     | 2000   | 4     | 198426.375000     | 107554.03 | 115942.54 | 112586.07 |
| Pacific Northwest | 2000   | 5     | 206303.085000     | 115451.37 | 121529.72 | 115057.17 |
| Pacific Northwest | 2000   | 2     | 193526.311667     | 102851.48 | 110048.71 | 114993.49 |
| Pacific Northwest | 2000   | 5     | 220375.385000     | 129708.76 | 124530.31 | 123137.13 |
| NY Metro          | 2000   | 3     | 207716.515000     | 117078.49 | 118730.37 | 122313.82 |
| North Midwest     | 2000   | 6     | 197562.647500     | 106941.35 | 117093.40 | 115072.48 |
| Pacific Northwest | 2000   | 2     | 197631.709167     | 107045.97 | 113958.62 | 117289.18 |
| California        | 2000   | 1     | 201892.212500     | 111347.65 | 197990.37 | 114359.86 |
| Mid Atlantic      | 2000   | 5     | 205745.698333     | 115255.72 | 113632.08 | 118909.68 |
| NY Metro          | 2000   | 3     | 196582.373333     | 106162.95 | 110159.59 | 116621.04 |
| Mid Atlantic      | 2000   | 2     | 195660.799167     | 105358.69 | 108080.61 | 113774.17 |
| North Midwest     | 2000   | 4     | 218611.426667     | 128377.55 | 125528.38 | 124736.34 |
| Pacific Northwest | 2000   | 2     | 198781.621667     | 108575.00 | 112813.07 | 112220.04 |
| California        | 2000   | 2     | 198944.575833     | 108741.12 | 120023.24 | 117778.13 |
| NY Metro          | 2000   | 5     | 207230.539167     | 117068.32 | 118934.81 | 114204.88 |
| Mid Atlantic      | 2000   | 4     | 196968.093333     | 106830.38 | 118391.15 | 117072.99 |
| North Midwest     | 2000   | 2     | 202611.941667     | 112491.89 | 121284.57 | 115798.26 |
| Pacific Northwest | 2000   | 2     | 195275.930833     | 105249.89 | 111741.56 | 116937.98 |
| California        | 2000   | 2     | 206986.035833     | 116974.18 | 122548.90 | 111122.58 |
| Pacific Northwest | 2000   | 2     | 196592.841667     | 106604.83 | 112076.78 | 118779.27 |
| Pacific Northwest | 2000   | 2     | 199858.195000     | 109873.97 | 114371.00 | 116452.66 |
+-------------------+--------+-------+-------------------+-----------+-----------+-----------+
