+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------+--------+-------+-------+------------+---------------+-----+
| i_category                                         | i_class                                            | i_brand                                            | i_product_name | d_year | d_qoy | d_moy | s_store_id | sumsales      | rk  |
| Books                                              | mystery                                            | corpunivamalg #10                                  | NULL           | NULL   | NULL  | NULL  | NULL       | 50768984.45   | 68  |
| Books                                              | mystery                                            | corpunivamalg #12                                  | NULL           | NULL   | NULL  | NULL  | NULL       | 61507139.23   | 32  |
| Books                                              | mystery                                            | corpunivamalg #8                                   | NULL           | NULL   | NULL  | NULL  | NULL       | 52712042.94   | 61  |
| Books                                              | mystery                                            | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 283950865.70  | 16  |
| Books                                              | parenting                                          | corpmaxi #10                                       | NULL           | NULL   | NULL  | NULL  | NULL       | 53110679.36   | 58  |
| Books                                              | parenting                                          | corpmaxi #12                                       | NULL           | NULL   | NULL  | NULL  | NULL       | 44452670.99   | 91  |
| Books                                              | parenting                                          | corpmaxi #2                                        | NULL           | NULL   | NULL  | NULL  | NULL       | 41751094.81   | 98  |
| Books                                              | parenting                                          | corpmaxi #4                                        | NULL           | NULL   | NULL  | NULL  | NULL       | 44641412.90   | 88  |
| Books                                              | parenting                                          | corpmaxi #6                                        | NULL           | NULL   | NULL  | NULL  | NULL       | 52080982.15   | 62  |
| Books                                              | parenting                                          | corpmaxi #8                                        | NULL           | NULL   | NULL  | NULL  | NULL       | 51914636.71   | 64  |
| Books                                              | parenting                                          | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 287951476.92  | 15  |
| Books                                              | reference                                          | brandmaxi #10                                      | NULL           | NULL   | NULL  | NULL  | NULL       | 44010387.75   | 93  |
| Books                                              | reference                                          | brandmaxi #2                                       | NULL           | NULL   | NULL  | NULL  | NULL       | 48900371.78   | 78  |
| Books                                              | reference                                          | brandmaxi #4                                       | NULL           | NULL   | NULL  | NULL  | NULL       | 50320315.22   | 71  |
| Books                                              | reference                                          | brandmaxi #6                                       | NULL           | NULL   | NULL  | NULL  | NULL       | 55396502.36   | 48  |
| Books                                              | reference                                          | brandmaxi #8                                       | NULL           | NULL   | NULL  | NULL  | NULL       | 57487178.57   | 41  |
| Books                                              | reference                                          | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 295290583.22  | 13  |
| Books                                              | romance                                            | namelessmaxi #12                                   | NULL           | NULL   | NULL  | NULL  | NULL       | 62293906.63   | 30  |
| Books                                              | romance                                            | namelessmaxi #2                                    | NULL           | NULL   | NULL  | NULL  | NULL       | 57882817.67   | 39  |
| Books                                              | romance                                            | namelessmaxi #4                                    | NULL           | NULL   | NULL  | NULL  | NULL       | 52766980.61   | 60  |
| Books                                              | romance                                            | namelessmaxi #6                                    | NULL           | NULL   | NULL  | NULL  | NULL       | 65176149.27   | 26  |
| Books                                              | romance                                            | namelessmaxi #8                                    | NULL           | NULL   | NULL  | NULL  | NULL       | 47391712.17   | 82  |
| Books                                              | romance                                            | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 323956485.53  | 6   |
| Books                                              | science                                            | maximaxi #10                                       | NULL           | NULL   | NULL  | NULL  | NULL       | 54908191.91   | 51  |
| Books                                              | science                                            | maximaxi #2                                        | NULL           | NULL   | NULL  | NULL  | NULL       | 59742429.54   | 34  |
| Books                                              | science                                            | maximaxi #6                                        | NULL           | NULL   | NULL  | NULL  | NULL       | 53662385.15   | 55  |
| Books                                              | science                                            | maximaxi #8                                        | NULL           | NULL   | NULL  | NULL  | NULL       | 46539658.91   | 83  |
| Books                                              | science                                            | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 292020240.33  | 14  |
| Books                                              | self-help                                          | exportiunivamalg #10                               | NULL           | NULL   | NULL  | NULL  | NULL       | 47990987.66   | 81  |
| Books                                              | self-help                                          | exportiunivamalg #12                               | NULL           | NULL   | NULL  | NULL  | NULL       | 53425243.00   | 57  |
| Books                                              | self-help                                          | exportiunivamalg #2                                | NULL           | NULL   | NULL  | NULL  | NULL       | 50448232.23   | 69  |
| Books                                              | self-help                                          | exportiunivamalg #4                                | NULL           | NULL   | NULL  | NULL  | NULL       | 53676428.73   | 54  |
| Books                                              | self-help                                          | exportiunivamalg #6                                | NULL           | NULL   | NULL  | NULL  | NULL       | 56680874.44   | 44  |
| Books                                              | self-help                                          | exportiunivamalg #8                                | NULL           | NULL   | NULL  | NULL  | NULL       | 46451864.36   | 84  |
| Books                                              | self-help                                          | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 308673630.42  | 12  |
| Books                                              | sports                                             | edu packunivamalg #10                              | NULL           | NULL   | NULL  | NULL  | NULL       | 44196195.12   | 92  |
| Books                                              | sports                                             | edu packunivamalg #12                              | NULL           | NULL   | NULL  | NULL  | NULL       | 51412229.78   | 65  |
| Books                                              | sports                                             | edu packunivamalg #2                               | NULL           | NULL   | NULL  | NULL  | NULL       | 53642675.42   | 56  |
| Books                                              | sports                                             | edu packunivamalg #4                               | NULL           | NULL   | NULL  | NULL  | NULL       | 50081816.35   | 72  |
| Books                                              | sports                                             | edu packunivamalg #6                               | NULL           | NULL   | NULL  | NULL  | NULL       | 71868214.54   | 19  |
| Books                                              | sports                                             | edu packunivamalg #8                               | NULL           | NULL   | NULL  | NULL  | NULL       | 58943042.03   | 36  |
| Books                                              | sports                                             | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 330144173.24  | 4   |
| Books                                              | travel                                             | univunivamalg #10                                  | NULL           | NULL   | NULL  | NULL  | NULL       | 66872050.58   | 22  |
| Books                                              | travel                                             | univunivamalg #12                                  | NULL           | NULL   | NULL  | NULL  | NULL       | 42386983.81   | 97  |
| Books                                              | travel                                             | univunivamalg #2                                   | NULL           | NULL   | NULL  | NULL  | NULL       | 57125010.78   | 42  |
| Books                                              | travel                                             | univunivamalg #4                                   | NULL           | NULL   | NULL  | NULL  | NULL       | 44608439.26   | 89  |
| Books                                              | travel                                             | univunivamalg #6                                   | NULL           | NULL   | NULL  | NULL  | NULL       | 58367197.87   | 37  |
| Books                                              | travel                                             | univunivamalg #8                                   | NULL           | NULL   | NULL  | NULL  | NULL       | 65816197.72   | 24  |
| Books                                              | travel                                             | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 335175880.02  | 2   |
| Books                                              | NULL                                               | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 4969816919.36 | 1   |
+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------+--------+-------+-------+------------+---------------+-----+
