+---------------+----------------------------------------------------+----------------------------------------------------+--------------+--------------------+
| total_sum     | i_category                                         | i_class                                            | lochierarchy | rank_within_parent |
| 43480571.78   | Jewelry                                            | semi-precious                                      | 0            | 15                 |
| 39758546.89   | Jewelry                                            | loose stones                                       | 0            | 16                 |
| 389133.02     | Jewelry                                            | NULL                                               | 0            | 17                 |
| 221718594.39  | Men                                                | shirts                                             | 0            | 1                  |
| 200806849.77  | Men                                                | accessories                                        | 0            | 2                  |
| 197697948.40  | Men                                                | pants                                              | 0            | 3                  |
| 194595006.03  | Men                                                | sports-apparel                                     | 0            | 4                  |
| 1611559.83    | Men                                                | NULL                                               | 0            | 5                  |
| 214910618.25  | Music                                              | classical                                          | 0            | 1                  |
| 200811042.06  | Music                                              | country                                            | 0            | 2                  |
| 197221723.40  | Music                                              | pop                                                | 0            | 3                  |
| 196667065.81  | Music                                              | rock                                               | 0            | 4                  |
| 2791715.90    | Music                                              | NULL                                               | 0            | 5                  |
| 211303916.40  | Shoes                                              | kids                                               | 0            | 1                  |
| 207533278.04  | Shoes                                              | mens                                               | 0            | 2                  |
| 202870404.35  | Shoes                                              | athletic                                           | 0            | 3                  |
| 200382556.15  | Shoes                                              | womens                                             | 0            | 4                  |
| 443165.01     | Shoes                                              | NULL                                               | 0            | 5                  |
+---------------+----------------------------------------------------+----------------------------------------------------+--------------+--------------------+
