+---------------+--------+-------+-------------------+-----------+-----------+-----------+
| cc_name       | d_year | d_moy | avg_monthly_sales | sum_sales | psum      | nsum      |
| Mid Atlantic  | 2000   | 1     | 174006.938333     | 95187.72  | 168127.52 | 97766.58  |
| North Midwest | 2000   | 2     | 171103.471667     | 92318.85  | 106102.04 | 105798.90 |
| Mid Atlantic  | 2000   | 2     | 182235.525833     | 103461.84 | 106399.16 | 108424.71 |
| North Midwest | 2000   | 7     | 171103.471667     | 92863.81  | 98831.38  | 233790.42 |
| Mid Atlantic  | 2000   | 7     | 178936.598333     | 100981.96 | 103745.77 | 237115.84 |
| NY Metro      | 2000   | 5     | 183940.202500     | 106109.35 | 103529.98 | 98766.86  |
| North Midwest | 2000   | 2     | 174698.382500     | 97026.22  | 94911.66  | 106562.26 |
| Mid Atlantic  | 2000   | 4     | 173291.079167     | 95943.48  | 100643.80 | 104919.33 |
| North Midwest | 2000   | 2     | 165941.180833     | 88643.96  | 99577.00  | 98078.98  |
| North Midwest | 2000   | 5     | 174698.382500     | 97406.37  | 102228.58 | 99727.40  |
| North Midwest | 2000   | 5     | 179811.273333     | 102663.81 | 106711.02 | 105598.02 |
| NY Metro      | 2000   | 4     | 174656.332500     | 97542.34  | 107506.68 | 101719.40 |
| North Midwest | 2000   | 1     | 179811.273333     | 102742.67 | 184974.59 | 99790.51  |
| Mid Atlantic  | 2000   | 6     | 170294.424167     | 93245.34  | 105103.86 | 100520.38 |
| North Midwest | 2000   | 2     | 172933.014167     | 95995.63  | 99134.17  | 105327.42 |
| NY Metro      | 2000   | 2     | 169899.295833     | 93098.62  | 93784.64  | 99995.21  |
| NY Metro      | 2000   | 6     | 166802.489167     | 90012.84  | 97170.20  | 94964.87  |
| NY Metro      | 2000   | 4     | 179574.395833     | 102820.98 | 103509.42 | 100305.33 |
| NY Metro      | 2000   | 3     | 183940.202500     | 107200.07 | 108974.16 | 103529.98 |
| North Midwest | 2000   | 2     | 157127.059167     | 80580.96  | 90605.70  | 92784.90  |
| NY Metro      | 2000   | 6     | 169899.295833     | 93451.23  | 99887.98  | 100419.75 |
| North Midwest | 2000   | 1     | 182375.350000     | 105980.82 | 183067.73 | 97587.34  |
| Mid Atlantic  | 2000   | 4     | 174006.938333     | 97683.02  | 104633.37 | 100696.23 |
| NY Metro      | 2000   | 2     | 168311.856667     | 92013.01  | 96722.16  | 97495.61  |
| Mid Atlantic  | 2000   | 2     | 174006.938333     | 97766.58  | 95187.72  | 104633.37 |
| NY Metro      | 2000   | 6     | 173743.135833     | 97546.06  | 102241.53 | 106638.63 |
| NY Metro      | 2000   | 4     | 169899.295833     | 93751.47  | 99995.21  | 99887.98  |
| North Midwest | 2000   | 2     | 166221.274167     | 90081.48  | 90766.08  | 96977.96  |
| NY Metro      | 2000   | 6     | 180318.798333     | 104185.85 | 100302.08 | 105892.83 |
| NY Metro      | 2000   | 1     | 169899.295833     | 93784.64  | 175423.34 | 93098.62  |
| NY Metro      | 2000   | 3     | 179574.395833     | 103509.42 | 98717.86  | 102820.98 |
| Mid Atlantic  | 2000   | 5     | 178936.598333     | 103002.97 | 105016.53 | 103745.77 |
| Mid Atlantic  | 2000   | 1     | 182235.525833     | 106399.16 | 179684.03 | 103461.84 |
| NY Metro      | 2000   | 2     | 159005.377500     | 83193.06  | 91319.46  | 100135.34 |
| NY Metro      | 2000   | 1     | 179574.395833     | 103787.70 | 194025.72 | 98717.86  |
| North Midwest | 2000   | 4     | 169208.730000     | 93509.90  | 100134.24 | 100760.20 |
| Mid Atlantic  | 2000   | 2     | 178936.598333     | 103245.23 | 103807.05 | 104715.66 |
| Mid Atlantic  | 2000   | 2     | 166931.760833     | 91298.41  | 97683.30  | 92892.99  |
| NY Metro      | 2000   | 2     | 168684.196667     | 93060.94  | 99964.00  | 96823.22  |
| NY Metro      | 2000   | 4     | 167023.155000     | 91424.31  | 98222.87  | 98628.44  |
| North Midwest | 2000   | 2     | 165715.545000     | 90156.19  | 95531.95  | 102801.05 |
| North Midwest | 2000   | 1     | 166221.274167     | 90766.08  | 150397.09 | 90081.48  |
| NY Metro      | 2000   | 2     | 166802.489167     | 91381.52  | 98062.43  | 104744.19 |
| NY Metro      | 2000   | 1     | 180318.798333     | 104898.56 | 185798.75 | 97017.09  |
| NY Metro      | 2000   | 7     | 168684.196667     | 93268.36  | 96893.48  | 228311.50 |
| North Midwest | 2000   | 7     | 172933.014167     | 97529.84  | 97753.90  | 231987.80 |
| NY Metro      | 2000   | 6     | 167023.155000     | 91665.28  | 98628.44  | 98406.27  |
| Mid Atlantic  | 2000   | 6     | 182235.525833     | 106910.16 | 107626.45 | 103132.39 |
| Mid Atlantic  | 2000   | 2     | 170294.424167     | 95080.82  | 99526.70  | 95843.51  |
| Mid Atlantic  | 2000   | 6     | 178936.598333     | 103745.77 | 103002.97 | 100981.96 |
| North Midwest | 2000   | 6     | 172933.014167     | 97753.90  | 99191.66  | 97529.84  |
| North Midwest | 2000   | 4     | 170184.637500     | 95015.54  | 104082.60 | 97836.64  |
| Mid Atlantic  | 2000   | 1     | 178936.598333     | 103807.05 | 187425.89 | 103245.23 |
| Mid Atlantic  | 2000   | 1     | 170753.640000     | 95632.07  | 160223.62 | 91849.97  |
| NY Metro      | 2000   | 2     | 174656.332500     | 99640.50  | 100297.07 | 107506.68 |
| NY Metro      | 2000   | 2     | 167023.155000     | 92009.82  | 99636.99  | 98222.87  |
| NY Metro      | 2000   | 4     | 168311.856667     | 93340.02  | 97495.61  | 93616.12  |
| North Midwest | 2000   | 6     | 174698.382500     | 99727.40  | 97406.37  | 104746.99 |
| Mid Atlantic  | 2000   | 2     | 157693.460833     | 82723.52  | 96864.83  | 89712.82  |
| NY Metro      | 2000   | 2     | 183940.202500     | 108974.16 | 111158.22 | 107200.07 |
| North Midwest | 2000   | 7     | 182375.350000     | 107411.87 | 101529.93 | 245642.90 |
| North Midwest | 2000   | 4     | 161020.352500     | 86059.49  | 92402.10  | 96301.10  |
| North Midwest | 2000   | 4     | 171103.471667     | 96259.89  | 105798.90 | 99009.24  |
| Mid Atlantic  | 2000   | 4     | 170753.640000     | 95958.13  | 100268.08 | 103706.37 |
| NY Metro      | 2000   | 5     | 168311.856667     | 93616.12  | 93340.02  | 99968.48  |
| Mid Atlantic  | 2000   | 5     | 182235.525833     | 107626.45 | 100766.17 | 106910.16 |
| NY Metro      | 2000   | 4     | 173743.135833     | 99143.23  | 100335.67 | 102241.53 |
| North Midwest | 2000   | 3     | 177278.280833     | 102731.25 | 95039.19  | 103505.27 |
| Mid Atlantic  | 2000   | 3     | 170294.424167     | 95843.51  | 95080.82  | 103092.81 |
| North Midwest | 2000   | 7     | 177278.280833     | 102828.30 | 104253.80 | 237347.33 |
| NY Metro      | 2000   | 7     | 180318.798333     | 105892.83 | 104185.85 | 245148.22 |
+---------------+--------+-------+-------------------+-----------+-----------+-----------+
