+---------+------------+-----------+-------------+----------------+------------------+
| item_sk | d_date     | web_sales | store_sales | web_cumulative | store_cumulative |
| 121     | 2001-01-11 | NULL      | 556.85      | 596.78         | 556.85           |
| 121     | 2001-01-12 | NULL      | 591.26      | 596.78         | 591.26           |
| 121     | 2001-01-13 | NULL      | 593.66      | 596.78         | 593.66           |
| 121     | 2001-01-16 | 671.28    | NULL        | 671.28         | 593.66           |
| 121     | 2001-01-17 | 809.77    | 602.58      | 809.77         | 602.58           |
| 121     | 2001-01-19 | 932.05    | NULL        | 932.05         | 602.58           |
| 121     | 2001-01-20 | NULL      | 752.32      | 932.05         | 752.32           |
| 121     | 2001-01-21 | 945.57    | NULL        | 945.57         | 752.32           |
| 121     | 2001-01-22 | NULL      | 861.67      | 945.57         | 861.67           |
| 121     | 2001-01-24 | 1003.26   | 995.53      | 1003.26        | 995.53           |
| 127     | 2001-01-08 | 373.21    | NULL        | 373.21         | 341.36           |
| 133     | 2001-01-01 | 217.12    | 43.35       | 217.12         | 43.35            |
| 133     | 2001-01-02 | NULL      | 70.13       | 217.12         | 70.13            |
| 133     | 2001-01-10 | 563.11    | NULL        | 563.11         | 558.45           |
| 133     | 2001-01-12 | 737.81    | 574.28      | 737.81         | 574.28           |
| 133     | 2001-01-13 | 793.42    | NULL        | 793.42         | 574.28           |
| 133     | 2001-01-14 | NULL      | 737.40      | 793.42         | 737.40           |
| 133     | 2001-01-15 | NULL      | 745.38      | 793.42         | 745.38           |
| 133     | 2001-01-16 | NULL      | 745.91      | 793.42         | 745.91           |
| 133     | 2001-01-17 | 817.12    | 807.24      | 817.12         | 807.24           |
| 133     | 2001-01-19 | 882.42    | 837.27      | 882.42         | 837.27           |
| 133     | 2001-01-30 | 1238.38   | 1218.76     | 1238.38        | 1218.76          |
| 133     | 2001-02-02 | 1274.43   | NULL        | 1274.43        | 1218.76          |
| 133     | 2001-02-03 | 1334.17   | 1330.58     | 1334.17        | 1330.58          |
| 133     | 2001-02-05 | NULL      | 1331.15     | 1334.17        | 1331.15          |
| 137     | 2001-01-02 | 203.54    | 72.85       | 203.54         | 72.85            |
| 137     | 2001-01-03 | 215.37    | 78.87       | 215.37         | 78.87            |
| 137     | 2001-01-05 | NULL      | 83.87       | 215.37         | 83.87            |
| 137     | 2001-01-06 | NULL      | 94.92       | 215.37         | 94.92            |
| 137     | 2001-01-07 | 354.97    | NULL        | 354.97         | 94.92            |
+---------+------------+-----------+-------------+----------------+------------------+
