+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+---------------+
| i_product_name                                     | i_brand                                            | i_class                                            | i_category                                         | qoh           |
| oughtcallypriableable                              | amalgunivamalg #6                                  | cooking                                            | Books                                              | 435.326612903 |
| oughtcallypriableable                              | amalgunivamalg #6                                  | cooking                                            | NULL                                               | 435.326612903 |
| oughtcallypriableable                              | amalgunivamalg #6                                  | NULL                                               | NULL                                               | 435.326612903 |
| oughtcallypriableable                              | NULL                                               | NULL                                               | NULL                                               | 435.326612903 |
| priationpriableable                                | scholarnameless #4                                 | fitness                                            | Sports                                             | 437.411522634 |
| priationpriableable                                | scholarnameless #4                                 | fitness                                            | NULL                                               | 437.411522634 |
| priationpriableable                                | scholarnameless #4                                 | NULL                                               | NULL                                               | 437.411522634 |
| priationpriableable                                | NULL                                               | NULL                                               | NULL                                               | 437.411522634 |
| prieingationoughtought                             | importoedu pack #2                                 | mens                                               | Shoes                                              | 437.651639344 |
| prieingationoughtought                             | importoedu pack #2                                 | mens                                               | NULL                                               | 437.651639344 |
| prieingationoughtought                             | importoedu pack #2                                 | NULL                                               | NULL                                               | 437.651639344 |
| prieingationoughtought                             | NULL                                               | NULL                                               | NULL                                               | 437.651639344 |
| priablen steing                                    | importonameless #4                                 | paint                                              | Home                                               | 437.78313253  |
| priablen steing                                    | importonameless #4                                 | paint                                              | NULL                                               | 437.78313253  |
| priablen steing                                    | importonameless #4                                 | NULL                                               | NULL                                               | 437.78313253  |
| priablen steing                                    | NULL                                               | NULL                                               | NULL                                               | 437.78313253  |
| antiesen stpripri                                  | importoscholar #2                                  | country                                            | Music                                              | 438.216326531 |
| antiesen stpripri                                  | importoscholar #2                                  | country                                            | NULL                                               | 438.216326531 |
| antiesen stpripri                                  | importoscholar #2                                  | NULL                                               | NULL                                               | 438.216326531 |
| antiesen stpripri                                  | NULL                                               | NULL                                               | NULL                                               | 438.216326531 |
| antibarationablepri                                | scholarbrand #2                                    | custom                                             | Jewelry                                            | 438.817813765 |
| antibarationablepri                                | scholarbrand #2                                    | custom                                             | NULL                                               | 438.817813765 |
| antibarationablepri                                | scholarbrand #2                                    | NULL                                               | NULL                                               | 438.817813765 |
| antibarationablepri                                | NULL                                               | NULL                                               | NULL                                               | 438.817813765 |
| oughtantiableable                                  | importoimporto #2                                  | shirts                                             | Men                                                | 439.020080321 |
| oughtantiableable                                  | importoimporto #2                                  | shirts                                             | NULL                                               | 439.020080321 |
| oughtantiableable                                  | importoimporto #2                                  | NULL                                               | NULL                                               | 439.020080321 |
| oughtantiableable                                  | NULL                                               | NULL                                               | NULL                                               | 439.020080321 |
| n stbaroughtbarable                                | importoimporto #2                                  | shirts                                             | Men                                                | 439.368627451 |
| n stbaroughtbarable                                | importoimporto #2                                  | shirts                                             | NULL                                               | 439.368627451 |
| n stbaroughtbarable                                | importoimporto #2                                  | NULL                                               | NULL                                               | 439.368627451 |
| n stbaroughtbarable                                | NULL                                               | NULL                                               | NULL                                               | 439.368627451 |
| oughtableoughtantiought                            | scholarbrand #2                                    | custom                                             | Jewelry                                            | 439.612648221 |
| oughtableoughtantiought                            | scholarbrand #2                                    | custom                                             | NULL                                               | 439.612648221 |
| oughtableoughtantiought                            | scholarbrand #2                                    | NULL                                               | NULL                                               | 439.612648221 |
| oughtableoughtantiought                            | NULL                                               | NULL                                               | NULL                                               | 439.612648221 |
| antieingbarbarpri                                  | edu packimporto #2                                 | sports-apparel                                     | Men                                                | 439.813765182 |
| antieingbarbarpri                                  | edu packimporto #2                                 | sports-apparel                                     | NULL                                               | 439.813765182 |
| antieingbarbarpri                                  | edu packimporto #2                                 | NULL                                               | NULL                                               | 439.813765182 |
| antieingbarbarpri                                  | NULL                                               | NULL                                               | NULL                                               | 439.813765182 |
| n stesen steseought                                | exportiimporto #2                                  | pants                                              | Men                                                | 439.821428571 |
| n stesen steseought                                | exportiimporto #2                                  | pants                                              | NULL                                               | 439.821428571 |
| n stesen steseought                                | exportiimporto #2                                  | NULL                                               | NULL                                               | 439.821428571 |
| n stesen steseought                                | NULL                                               | NULL                                               | NULL                                               | 439.821428571 |
| prin stanticallyable                               | importomaxi #2                                     | business                                           | Books                                              | 440.083333333 |
| prin stanticallyable                               | importomaxi #2                                     | business                                           | NULL                                               | 440.083333333 |
| prin stanticallyable                               | importomaxi #2                                     | NULL                                               | NULL                                               | 440.083333333 |
| prin stanticallyable                               | NULL                                               | NULL                                               | NULL                                               | 440.083333333 |
| n steseationablepri                                | amalgbrand #6                                      | semi-precious                                      | Jewelry                                            | 440.487704918 |
| n steseationablepri                                | amalgbrand #6                                      | semi-precious                                      | NULL                                               | 440.487704918 |
| n steseationablepri                                | amalgbrand #6                                      | NULL                                               | NULL                                               | 440.487704918 |
| n steseationablepri                                | NULL                                               | NULL                                               | NULL                                               | 440.487704918 |
| prin steingationable                               | importoamalg #2                                    | fragrances                                         | Women                                              | 441.130952381 |
| prin steingationable                               | importoamalg #2                                    | fragrances                                         | NULL                                               | 441.130952381 |
| prin steingationable                               | importoamalg #2                                    | NULL                                               | NULL                                               | 441.130952381 |
| prin steingationable                               | NULL                                               | NULL                                               | NULL                                               | 441.130952381 |
| ationableoughtpriable                              | importoamalg #2                                    | fragrances                                         | Women                                              | 441.295833333 |
| ationableoughtpriable                              | importoamalg #2                                    | fragrances                                         | NULL                                               | 441.295833333 |
| ationableoughtpriable                              | importoamalg #2                                    | NULL                                               | NULL                                               | 441.295833333 |
| ationableoughtpriable                              | NULL                                               | NULL                                               | NULL                                               | 441.295833333 |
| ationantiesecally                                  | exportischolar #2                                  | pop                                                | Music                                              | 442.348       |
| ationantiesecally                                  | exportischolar #2                                  | pop                                                | NULL                                               | 442.348       |
| ationantiesecally                                  | exportischolar #2                                  | NULL                                               | NULL                                               | 442.348       |
| ationantiesecally                                  | NULL                                               | NULL                                               | NULL                                               | 442.348       |
| pricallyeingpriought                               | amalgimporto #2                                    | accessories                                        | Men                                                | 442.640316206 |
| pricallyeingpriought                               | amalgimporto #2                                    | accessories                                        | NULL                                               | 442.640316206 |
| pricallyeingpriought                               | amalgimporto #2                                    | NULL                                               | NULL                                               | 442.640316206 |
| pricallyeingpriought                               | NULL                                               | NULL                                               | NULL                                               | 442.640316206 |
| oughtpriesepriought                                | edu packedu pack #2                                | athletic                                           | Shoes                                              | 443.563265306 |
| oughtpriesepriought                                | edu packedu pack #2                                | athletic                                           | NULL                                               | 443.563265306 |
| oughtpriesepriought                                | edu packedu pack #2                                | NULL                                               | NULL                                               | 443.563265306 |
| oughtpriesepriought                                | NULL                                               | NULL                                               | NULL                                               | 443.563265306 |
+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+---------------+
