+--------------+------------+----------------+-------+-----------+----------------------+-------------------+----------------+---------------------------+------------------------+
| ss_sold_year | ss_item_sk | ss_customer_sk | ratio | store_qty | store_wholesale_cost | store_sales_price | other_chan_qty | other_chan_wholesale_cost | other_chan_sales_price |
| 2000         | 73         | 72210          | 0.57  | 27        | 88.14                | 88.52             | 47             | 60.35                     | 99.21                  |
| 2000         | 77         | 57068          | 1.04  | 97        | 81.10                | 68.31             | 93             | 38.18                     | 94.49                  |
| 2000         | 77         | 312237         | 0.97  | 95        | 10.45                | 13.83             | 98             | 95.04                     | 183.00                 |
| 2000         | 80         | 180474         | 0.28  | 26        | 62.31                | 9.47              | 93             | 97.82                     | 64.28                  |
| 2000         | 85         | 271873         | 1.0   | 11        | 6.56                 | 6.82              | 11             | 89.49                     | 42.59                  |
| 2000         | 86         | 166167         | 1.27  | 47        | 62.03                | 108.99            | 37             | 20.46                     | 32.34                  |
| 2000         | 97         | 107168         | 0.34  | 18        | 50.31                | 3.01              | 53             | 92.50                     | 87.32                  |
| 2000         | 98         | 151887         | 0.01  | 1         | 62.35                | 89.97             | 86             | 33.18                     | 29.02                  |
| 2000         | 101        | 116517         | 9.4   | 94        | 72.14                | 49.99             | 10             | 11.84                     | 4.95                   |
| 2000         | 101        | 176753         | 3.0   | 42        | 54.88                | 51.51             | 14             | 15.07                     | 29.17                  |
| 2000         | 101        | 183893         | 0.29  | 25        | 40.93                | 25.58             | 87             | 5.36                      | 4.27                   |
| 2000         | 107        | 238732         | 0.76  | 34        | 32.05                | 0.73              | 45             | 38.12                     | 41.08                  |
| 2000         | 107        | 259509         | 0.88  | 71        | 2.85                 | 1.18              | 81             | 20.78                     | 5.27                   |
| 2000         | 110        | 334961         | 12.0  | 24        | 86.97                | 62.04             | 2              | 69.71                     | 0.00                   |
| 2000         | 113        | 55734          | 0.19  | 15        | 66.51                | 81.23             | 80             | 47.37                     | 74.63                  |
| 2000         | 113        | 329428         | 0.09  | 8         | 62.61                | 31.57             | 91             | 77.42                     | 115.31                 |
| 2000         | 115        | 311310         | 0.79  | 31        | 91.83                | 42.56             | 39             | 4.19                      | 8.61                   |
| 2000         | 116        | 111816         | 0.31  | 14        | 62.73                | 44.56             | 45             | 18.61                     | 7.53                   |
| 2000         | 116        | 271159         | 0.54  | 21        | 53.77                | 5.19              | 39             | 20.49                     | 55.66                  |
| 2000         | 119        | 80505          | 0.94  | 58        | 55.02                | 71.28             | 62             | 77.80                     | 109.53                 |
| 2000         | 119        | 126866         | 1.74  | 33        | 21.82                | 11.62             | 19             | 76.57                     | 9.73                   |
| 2000         | 119        | 214372         | 2.0   | 44        | 36.49                | 41.17             | 22             | 20.43                     | 10.30                  |
| 2000         | 119        | 345777         | 1.24  | 98        | 60.80                | 33.30             | 79             | 23.95                     | 39.79                  |
| 2000         | 122        | 126490         | 0.21  | 21        | 97.52                | 150.72            | 100            | 49.94                     | 115.36                 |
| 2000         | 125        | 52497          | 0.21  | 19        | 26.76                | 0.00              | 90             | 84.65                     | 110.36                 |
| 2000         | 125        | 173233         | 0.58  | 22        | 24.53                | 8.84              | 38             | 36.31                     | 22.13                  |
| 2000         | 125        | 319748         | 5.58  | 67        | 70.27                | 54.25             | 12             | 77.64                     | 5.76                   |
| 2000         | 127        | 50711          | 0.43  | 27        | 99.73                | 123.73            | 63             | 63.19                     | 31.09                  |
| 2000         | 128        | 53965          | 0.53  | 28        | 59.15                | 2.86              | 53             | 77.40                     | 37.33                  |
| 2000         | 128        | 190604         | 1.48  | 31        | 66.04                | 86.85             | 21             | 58.13                     | 7.49                   |
| 2000         | 131        | 194219         | 1.18  | 39        | 76.97                | 63.78             | 33             | 10.70                     | 9.16                   |
| 2000         | 133        | 268686         | 0.63  | 36        | 60.41                | 12.52             | 57             | 17.44                     | 6.95                   |
| 2000         | 139        | 28935          | 0.6   | 46        | 22.16                | 26.90             | 77             | 3.31                      | 0.14                   |
| 2000         | 139        | 314400         | 0.43  | 39        | 55.44                | 79.29             | 90             | 61.23                     | 104.18                 |
| 2000         | 140        | 85591          | 3.0   | 93        | 1.46                 | 1.07              | 31             | 87.77                     | 104.50                 |
| 2000         | 140        | 335790         | 0.47  | 35        | 85.40                | 164.82            | 74             | 1.31                      | 1.07                   |
| 2000         | 145        | 78959          | 3.0   | 24        | 25.14                | 10.38             | 8              | 13.77                     | 4.43                   |
| 2000         | 145        | 99170          | 0.12  | 6         | 10.49                | 11.69             | 50             | 19.44                     | 3.72                   |
| 2000         | 145        | 153554         | 0.42  | 35        | 51.11                | 51.11             | 83             | 4.96                      | 0.65                   |
| 2000         | 149        | 136519         | 23.75 | 95        | 35.67                | 45.66             | 4              | 29.01                     | 21.40                  |
| 2000         | 149        | 265958         | 1.67  | 60        | 81.45                | 17.02             | 36             | 56.89                     | 6.50                   |
| 2000         | 151        | 236677         | 49.5  | 99        | 48.75                | 64.92             | 2              | 49.89                     | 86.80                  |
| 2000         | 151        | 256319         | 0.32  | 29        | 22.61                | 21.39             | 91             | 89.21                     | 59.23                  |
| 2000         | 152        | 52163          | 0.36  | 28        | 33.95                | 43.46             | 78             | 27.47                     | 3.93                   |
| 2000         | 158        | 5999           | 0.7   | 26        | 2.30                 | 1.08              | 37             | 29.49                     | 26.59                  |
| 2000         | 158        | 31015          | 0.13  | 12        | 63.93                | 31.19             | 96             | 90.64                     | 10.00                  |
| 2000         | 163        | 161856         | 0.48  | 24        | 54.78                | 81.07             | 50             | 39.68                     | 53.46                  |
| 2000         | 164        | 148340         | 1.02  | 91        | 73.05                | 16.59             | 89             | 32.52                     | 34.59                  |
| 2000         | 164        | 322261         | 0.18  | 18        | 77.65                | 28.39             | 99             | 15.61                     | 11.64                  |
| 2000         | 167        | 39917          | 0.75  | 73        | 18.26                | 11.60             | 97             | 64.26                     | 54.13                  |
| 2000         | 170        | 102496         | 0.93  | 83        | 34.84                | 4.26              | 89             | 38.85                     | 13.00                  |
| 2000         | 170        | 317341         | 1.24  | 84        | 91.29                | 21.89             | 68             | 68.91                     | 106.28                 |
| 2000         | 173        | 139265         | 1.77  | 23        | 31.40                | 30.20             | 13             | 52.30                     | 16.58                  |
| 2000         | 179        | 240758         | 1.51  | 98        | 46.62                | 23.45             | 65             | 64.96                     | 56.08                  |
| 2000         | 182        | 168531         | 0.92  | 59        | 9.85                 | 0.10              | 64             | 93.84                     | 1.91                   |
| 2000         | 182        | 168642         | 24.0  | 48        | 59.38                | 57.47             | 2              | 23.18                     | 15.06                  |
| 2000         | 187        | 295359         | 3.5   | 70        | 63.39                | 84.78             | 20             | 59.34                     | 76.73                  |
| 2000         | 188        | 228454         | 32.0  | 64        | 1.73                 | 0.22              | 2              | 39.85                     | 9.05                   |
| 2000         | 193        | 22213          | 1.74  | 87        | 64.13                | 108.09            | 50             | 30.00                     | 82.08                  |
| 2000         | 193        | 78613          | 0.23  | 11        | 55.86                | 47.02             | 47             | 55.07                     | 35.94                  |
| 2000         | 193        | 185808         | 0.14  | 12        | 27.75                | 32.47             | 83             | 93.30                     | 41.84                  |
| 2000         | 193        | 309394         | 0.68  | 27        | 88.96                | 103.33            | 40             | 87.69                     | 115.52                 |
| 2000         | 194        | 177108         | 0.27  | 22        | 23.93                | 14.47             | 82             | 74.12                     | 61.25                  |
| 2000         | 197        | 27574          | 0.64  | 60        | 25.56                | 30.59             | 94             | 19.83                     | 4.47                   |
| 2000         | 199        | 341807         | 1.29  | 53        | 28.85                | 35.44             | 41             | 30.94                     | 58.36                  |
| 2000         | 200        | 214920         | 1.82  | 69        | 57.41                | 0.00              | 38             | 23.43                     | 2.82                   |
| 2000         | 205        | 7548           | 0.8   | 63        | 61.76                | 26.50             | 79             | 74.31                     | 6.73                   |
| 2000         | 205        | 9939           | 0.48  | 43        | 53.57                | 82.41             | 89             | 48.71                     | 76.62                  |
| 2000         | 205        | 137194         | 1.12  | 37        | 40.58                | 12.33             | 33             | 89.85                     | 64.86                  |
| 2000         | 209        | 668            | 0.35  | 21        | 74.45                | 24.56             | 60             | 24.88                     | 22.82                  |
| 2000         | 209        | 189497         | 1.14  | 49        | 78.47                | 123.80            | 43             | 78.47                     | 103.58                 |
| 2000         | 211        | 182718         | 0.51  | 36        | 7.03                 | 4.62              | 71             | 42.13                     | 0.94                   |
+--------------+------------+----------------+-------+-----------+----------------------+-------------------+----------------+---------------------------+------------------------+
