+--------------+--------------+-----------------+-----------------+-----------------+----------------+---------------+-------------------+---------+------------+---------+------------+------------+-------------+-----------+
| s_store_name | s_company_id | s_street_number | s_street_name   | s_street_type   | s_suite_number | s_city        | s_county          | s_state | s_zip      | 30 days | 31-60 days | 61-90 days | 91-120 days | >120 days |
| cally        | 1            | 496             | 3rd             | Ct.             | Suite E        | Fairview      | Williamson County | TN      | 35709      | 147     | 103        | 54         | 65          | 121       |
| cally        | 1            | 588             | View Mill       | Court           | Suite 160      | Pleasant Hill | Ziebach County    | SD      | 53604      | 141     | 87         | 57         | 63          | 131       |
| cally        | 1            | 606             | Lake Lincoln    | Boulevard       | Suite S        | Pleasant Hill | Williamson County | TN      | 33604      | 123     | 92         | 78         | 54          | 133       |
| cally        | NULL         | 688             | NULL            | Avenue          | Suite 50       | NULL          | NULL              | TN      | NULL       | 155     | 106        | 60         | 63          | 138       |
| eing         | 1            | 226             | 12th            | Lane            | Suite D        | Riverside     | Walker County     | AL      | 39231      | 146     | 79         | 62         | 67          | 112       |
| eing         | 1            | 293             | Center Main     | Lane            | Suite 200      | Fairview      | Ziebach County    | SD      | 55709      | 141     | 116        | 79         | 51          | 122       |
| eing         | 1            | 303             | Fifteenth       | RD              | Suite 340      | Pleasant Hill | Williamson County | TN      | 33604      | 114     | 113        | 60         | 69          | 110       |
| eing         | 1            | 317             | Poplar 9th      | Pkwy            | Suite P        | Midway        | Walker County     | AL      | 31904      | 132     | 114        | 66         | 56          | 133       |
| eing         | 1            | 317             | Ridge Green     | Lane            | Suite A        | Midway        | Williamson County | TN      | 31904      | 119     | 97         | 61         | 73          | 120       |
| eing         | 1            | 656             | Washington      | Dr.             | Suite 50       | Pleasant Hill | Williamson County | TN      | 33604      | 131     | 111        | 68         | 69          | 139       |
| eing         | 1            | 687             | Ridge           | Blvd            | Suite P        | Riverside     | Ziebach County    | SD      | 59231      | 134     | 87         | 59         | 55          | 116       |
| ese          | 1            | 27              | Lake            | Ln              | Suite 260      | Pleasant Hill | Williamson County | TN      | 33604      | 141     | 108        | 69         | 65          | 113       |
| ese          | 1            | 302             | Spruce          | Court           | Suite L        | Fairview      | Walker County     | AL      | 35709      | 112     | 93         | 63         | 71          | 127       |
| ese          | 1            | 313             | East            | Court           | Suite 300      | Five Points   | Walker County     | AL      | 36098      | 118     | 103        | 71         | 63          | 132       |
| ese          | 1            | 408             | Washington 1st  | Circle          | Suite 390      | Oak Grove     | Ziebach County    | SD      | 58370      | 114     | 91         | 56         | 74          | 124       |
| ese          | 1            | 462             | 1st Washington  | Parkway         | Suite 290      | Five Points   | Walker County     | AL      | 36098      | 127     | 93         | 52         | 54          | 144       |
| ese          | 1            | 521             | 9th             | Ave             | Suite Y        | Pleasant Hill | Ziebach County    | SD      | 53604      | 123     | 97         | 58         | 72          | 123       |
| ese          | 1            | 669             | Locust Spring   | Parkway         | Suite E        | Fairview      | Walker County     | AL      | 35709      | 107     | 78         | 57         | 52          | 102       |
| n st         | 1            | 240             | Willow          | RD              | Suite 280      | Riverside     | Walker County     | AL      | 39231      | 145     | 96         | 51         | 62          | 113       |
| n st         | 1            | 495             | Valley          | Lane            | Suite D        | Fairview      | Williamson County | TN      | 35709      | 128     | 122        | 51         | 46          | 143       |
| n st         | 1            | 638             | Cherry          | Dr.             | Suite T        | Riverside     | Walker County     | AL      | 39231      | 136     | 99         | 58         | 57          | 135       |
| ought        | 1            | 150             | Maple Williams  | Lane            | Suite D        | Fairview      | Williamson County | TN      | 35709      | 146     | 121        | 64         | 54          | 118       |
| ought        | 1            | 602             | Chestnut 5th    | Boulevard       | Suite C        | Pleasant Hill | Williamson County | TN      | 33604      | 120     | 109        | 55         | 61          | 138       |
| ought        | 1            | 75              | 2nd Oak         | Pkwy            | Suite C        | Riverside     | Williamson County | TN      | 39231      | 132     | 74         | 68         | 50          | 118       |
| ought        | 1            | 767             | Spring          | Wy              | Suite 250      | Pleasant Hill | Ziebach County    | SD      | 53604      | 138     | 104        | 51         | 56          | 113       |
| pri          | 1            | 84              | First           | Cir.            | Suite 180      | Pleasant Hill | Ziebach County    | SD      | 53604      | 145     | 104        | 59         | 60          | 109       |
| pri          | 1            | 872             | Washington      | Pkwy            | Suite 70       | Midway        | Walker County     | AL      | 31904      | 130     | 87         | 56         | 67          | 117       |
| pri          | 1            | 889             | River Wilson    | Avenue          | Suite 210      | Fairview      | Walker County     | AL      | 35709      | 136     | 120        | 49         | 67          | 132       |
+--------------+--------------+-----------------+-----------------+-----------------+----------------+---------------+-------------------+---------+------------+---------+------------+------------+-------------+-----------+
