+--------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------+-----------------+------------------+----------------------------------------------------+
| s_store_name | i_item_desc                                                                                                                                                                                       | revenue | i_current_price | i_wholesale_cost | i_brand                                            |
| able         | Able ar                                                                                                                                                                                           | 0.21    | 7.08            | 5.38             | corpmaxi #6                                        |
| able         | Able areas unload now for a elements. Twin respond                                                                                                                                                | 5.14    | 3.29            | 1.34             | scholarcorp #6                                     |
| able         | Able artists love all classical, roman runs. British childre                                                                                                                                      | 2.59    | 9.93            | 8.44             | edu packedu pack #2                                |
| able         | Able churches would drown then good games. Cultural, public eggs would see as beautiful men. Senior animals leave somehow low damages. Swiss, private costs shar                                  | 1.22    | 4.87            | 2.67             | importoedu pack #2                                 |
| able         | Able colours sleep small papers. Unable pairs used to play; resources start good, legal enemies. Crews say inevitable, provincial items.                                                          | 0.00    | 3.90            | 1.67             | amalgscholar #2                                    |
| able         | Able considerations may end even; financial, useful courts ought to dominate however. Daily, concerned interests should come clean, local services. More unlikely tea                             | 1.44    | 7.85            | 2.45             | importoscholar #2                                  |
| able         | Able considerations may end even; financial, useful courts ought to dominate however. Daily, concerned interests should come clean, local services. More unlikely tea                             | 6.25    | 7.85            | 2.45             | importoscholar #2                                  |
| able         | Able decisions must not become. Guns would constitute soldiers. Consistent volumes give efficient police. Loud inland qualification                                                               | 7.12    | 1.31            | 0.47             | importomaxi #6                                     |
| able         | Able details should take therefore previous, solid friends. Now dark looks                                                                                                                        | 6.95    | 4.05            | 1.34             | namelessmaxi #4                                    |
| able         | Able differences shall not give flats. Similarly written eyes go directly confidential metres; unexpected, real                                                                                   | 7.81    | 2.35            | 1.99             | exportischolar #2                                  |
| able         | Able eyes will not reach aside like a feet; potentially agricultural months can buy new, solid issues.                                                                                            | 4.52    | 6.59            | 23.69            | importoimporto #2                                  |
| able         | Able facilities clear thus good dete                                                                                                                                                              | 4.53    | 3.82            | 1.41             | exportiexporti #2                                  |
| able         | Able friends shall not question major, monthly things; new shots woul                                                                                                                             | 5.59    | 1.04            | 0.75             | exportischolar #2                                  |
| able         | Able funds must not investigate distinct, short-term foundations. Sad, soft examples beli                                                                                                         | 0.00    | 8.11            | 64.79            | amalgamalgamalg #11                                |
| able         | Able funds must not investigate distinct, short-term foundations. Sad, soft examples beli                                                                                                         | 1.03    | 8.11            | 64.79            | amalgamalgamalg #11                                |
| able         | Able husbands deal full, independent sources. Together other organisations want of c                                                                                                              | 1.21    | 0.54            | 0.23             | scholarunivamalg #15                               |
| able         | Able lakes tell then early beliefs. Services go rather; false friends might not choose plain alike different professionals. Much early arms giv                                                   | 0.00    | 0.56            | 0.18             | edu packexporti #2                                 |
| able         | Able languages forgive more as a duties. Royal, primary others cannot demand much new tickets. Customs pr                                                                                         | 7.81    | 2.77            | 0.20             | corpbrand #10                                      |
| able         | Able miles attract in a pupils. Orthodox files try around a others. Again social appearances may not tell anyway new                                                                              | 1.53    | 9.92            | 5.95             | exportiedu pack #2                                 |
| able         | Able owners control. Extra resources should follow for instance aside democratic rates. Metres                                                                                                    | 4.73    | 2.93            | 2.25             | edu packbrand #6                                   |
| able         | Able pieces might tax ordinary aspects. Very patients would wonder again generally ugly thin                                                                                                      | 2.59    | 4.28            | 56.13            | exportiexporti #2                                  |
| able         | Able pieces might tax ordinary aspects. Very patients would wonder again generally ugly thin                                                                                                      | 5.28    | 4.28            | 56.13            | exportiexporti #2                                  |
| able         | Able problems may provide new strategies; ashamed nations must not cross individual courts; central, m                                                                                            | 0.89    | 4.25            | 0.09             | edu packedu pack #2                                |
| able         | Able problems may provide new strategies; ashamed nations must not cross individual courts; central, m                                                                                            | 2.73    | 4.25            | 0.09             | edu packedu pack #2                                |
| able         | Able provisions see there quick events. Quickly corporate laws happen savings. Families will acc                                                                                                  | 6.41    | 3.50            | 2.52             | importoedu pack #2                                 |
| able         | Able rights run probably patients. Most physical kinds make. So whole men must                                                                                                                    | 7.05    | 5.37            | 2.44             | edu packscholar #2                                 |
| able         | Able schools set only. Religious countries explore more than autonomous                                                                                                                           | 6.66    | 0.35            | 5.30             | corpbrand #8                                       |
| able         | Able services must tell thus patients; quiet, complex hundreds might forget fair aspects. Special, serio                                                                                          | 1.95    | 1.37            | 1.45             | importoedu pack #2                                 |
| able         | Able students can know together interested, new feet. As well top relations shall suppose very dark feet; then whole men control financial stand                                                  | 3.17    | 0.58            | 0.34             | edu packedu pack #2                                |
| able         | Able students must take again grand objects. Exactly other years could substantiate crude, high                                                                                                   | 5.69    | 30.99           | 16.73            | amalgscholar #2                                    |
| able         | Able students must take again grand objects. Exactly other years could substantiate crude, high                                                                                                   | 3.42    | 30.99           | 16.73            | amalgscholar #2                                    |
| able         | Able techniques may not hurt vital, other years. Current lawyers can avoid developments. More rough years identify light, strong men                                                              | 6.19    | 6.69            | 2.27             | edu packedu pack #2                                |
| able         | Able years can know colleagues. Other, other gardens cou                                                                                                                                          | 8.09    | 0.42            | 0.28             | amalgbrand #10                                     |
| able         | Able, armed relationships used to bring international, military jobs. Domestic samples would stroke large, back groups. Tough, difficult l                                                        | 7.59    | 66.12           | 40.99            | importoexporti #2                                  |
| able         | Able, armed relationships used to bring international, military jobs. Domestic samples would stroke large, back groups. Tough, difficult l                                                        | 4.96    | 66.12           | 40.99            | importoexporti #2                                  |
| able         | Able, british premises can                                                                                                                                                                        | 2.68    | 5.68            | 3.66             | importobrand #6                                    |
| able         | Able, common leaders will force about for a metals; vast, essential workers look. Military resources see twice closer persistent governments. Targets could wake now male women; in part fi       | 0.20    | 2.88            | 0.61             | edu packbrand #4                                   |
| able         | Able, common leaders will force about for a metals; vast, essential workers look. Military resources see twice closer persistent governments. Targets could wake now male women; in part fi       | 1.10    | 2.88            | 0.61             | edu packbrand #4                                   |
| able         | Able, common leaders will force about for a metals; vast, essential workers look. Military resources see twice closer persistent governments. Targets could wake now male women; in part fi       | 0.72    | 2.88            | 0.61             | edu packbrand #4                                   |
| able         | Able, contemporary customs will not take also. National, aware ideas take just                                                                                                                    | 6.76    | 1.27            | 0.59             | exportiunivamalg #2                                |
| able         | Able, corporate notes                                                                                                                                                                             | 1.35    | 3.80            | 2.73             | amalgbrand #4                                      |
| able         | Able, great schools convene. Old problems may cut regularly top men. Young, basic departments would not seek very usual cases. Flexible events ban therefore                                      | 3.60    | 0.71            | 0.36             | importobrand #4                                    |
| able         | Able, interesting payments should derive disabled members. Corresponding, modern keys ought to                                                                                                    | 2.40    | 32.40           | 17.49            | amalgimporto #2                                    |
| able         | Able, international others will announce; experts may need now new agreements. Old, new names run thus powerful years.                                                                            | 0.00    | 1.22            | 15.81            | edu packedu pack #2                                |
| able         | Able, large police feel processes; together external flowers ought to fit for the jobs. Much able officers used to top from a parents. Shots will approve even good con                           | 3.48    | 3.13            | 2.59             | amalgbrand #8                                      |
| able         | Able, long mammals can want new, serious years. Questions would not cope again mainly unable contributions. Less responsible shelves lose records; leading, similar                               | 1.86    | 2.49            | 1.49             | amalgedu pack #2                                   |
| able         | Able, major communities relate half public ships. New, social districts could know ever operational trousers. Disabled, subsequent animals used to inform even                                    | 5.97    | 6.82            | 4.44             | amalgscholar #2                                    |
| able         | Able, massive waves retain as liberal individuals. Large, direct companies may make away from the concentrations. Possible, new                                                                   | 3.48    | 8.23            | 3.45             | edu packamalg #2                                   |
| able         | Able, national applications continue so in a times. Sincerely unable plants go. Notoriously recent mice must say just certain cheerful stocks. B                                                  | 4.96    | 3.24            | 1.91             | importoedu pack #2                                 |
| able         | Able, national rooms extend too in a arms                                                                                                                                                         | 8.46    | 4.18            | 2.92             | scholarbrand #6                                    |
| able         | Able, normal proceedings contain fresh places. Requirements go. Sales will fall consequen                                                                                                         | 5.50    | 2.69            | 8.26             | edu packscholar #2                                 |
| able         | Able, other influences would lose. Forms take now. Old, average soldiers must not know far, whole schemes. Regulations cause hence important patients. Films should discover more minor, great re | 7.18    | 1.21            | 3.78             | edu packamalg #2                                   |
| able         | Able, other techniques say especially true, democratic purposes. Warm, sharp hands would not live as. Other, small nations illustrate in the partners;                                            | 1.20    | 1.48            | 0.44             | importoexporti #2                                  |
| able         | Able, other trusts hand so just other responses. Practical systems would vote huge dimensions. Sad, excellent sales might not hurt. Other, impo                                                   | 7.05    | 5.21            | 3.59             | importoamalg #2                                    |
| able         | Able, other years look n                                                                                                                                                                          | 0.62    | 7.95            | 2.62             | amalgunivamalg #8                                  |
| able         | Able, outer colleagues must allow. Cultural, british changes report sources. Hands wish extremely natio                                                                                           | 1.21    | 1.83            | 0.73             | importoamalg #2                                    |
| able         | Able, present stores must not discuss easy, overseas decisions. Demanding, ancient contexts sel                                                                                                   | 4.98    | 1.77            | 0.70             | importounivamalg #10                               |
| able         | Able, statistical women encompass. Considerable, front efforts use in a miles; at least complex hopes cannot see catholic businesses. Current, black arts shal                                    | 0.00    | 3.07            | 1.90             | univbrand #2                                       |
| able         | Able, strong pictures understand especially. Similar years feed sometimes close, bri                                                                                                              | 7.89    | 0.62            | 2.08             | corpcorp #6                                        |
| able         | Able, supposed year                                                                                                                                                                               | 3.75    | 4.76            | 73.48            | exportiexporti #2                                  |
| able         | Able, ultimate walls would trace only. Massive positions stop all right military votes. Things assume newly in the minutes. Apparent police c                                                     | 0.94    | 55.29           | 21.01            | amalgmaxi #12                                      |
| able         | Able, useless players worry colleagues. Growing, patient sales would review on a minutes. Quickly new seasons might adjust. Windows                                                               | 5.38    | 99.86           | 1.48             | scholarunivamalg #7                                |
| able         | Able, vital opportunities will not bring. Words go together in a                                                                                                                                  | 6.53    | 1.12            | 0.41             | importobrand #10                                   |
| able         | Able, vital opportunities will not bring. Words go together in a                                                                                                                                  | 1.78    | 1.12            | 0.41             | importobrand #10                                   |
| able         | Able, vital opportunities will not bring. Words go together in a                                                                                                                                  | 5.87    | 1.12            | 0.41             | importobrand #10                                   |
| able         | Able, wooden sources should find particularly. Police appoint simple foods. Needs would become circumstances. Initial lines may accept however just great pas                                     | 1.80    | 9.62            | 4.04             | amalgscholar #2                                    |
| able         | About aggressive christians shall not discuss clear fears. Mild, early teachers educate big variables. Respectively main services move never days; local, necessary firms must fetch al           | 5.46    | 4.66            | 3.18             | amalgnameless #10                                  |
| able         | About aggressive christians shall not discuss clear fears. Mild, early teachers educate big variables. Respectively main services move never days; local, necessary firms must fetch al           | 2.21    | 4.66            | 3.18             | amalgnameless #10                                  |
| able         | About aggressive christians shall not discuss clear fears. Mild, early teachers educate big variables. Respectively main services move never days; local, necessary firms must fetch al           | 4.65    | 4.66            | 3.18             | amalgnameless #10                                  |
| able         | About alone attitudes conceive carefully factors; natural settlements should see almost in a dogs. Profitable, available explanations merit so later                                              | 6.33    | 1.89            | 1.92             | exportischolar #2                                  |
| able         | About alone attitudes conceive carefully factors; natural settlements should see almost in a dogs. Profitable, available explanations merit so later                                              | 6.19    | 1.89            | 1.92             | exportischolar #2                                  |
| able         | About appropriate divisions win eastern hearts. Usual, clear boots will prosper soon more aware families. Red, satisfactory interests receive                                                     | 2.86    | 1.49            | 0.95             | importoamalg #2                                    |
| able         | About appropriate managers should repeat both apparent real steps. Annual, low neighbours elect                                                                                                   | 7.77    | 4.51            | 3.47             | edu packedu pack #2                                |
| able         | About armed units fill again dead colleagues. Women express legitimately regional participants. Appropriate ties used to                                                                          | 5.88    | 1.88            | 0.94             | edu packbrand #8                                   |
| able         | About available patients might disguise much safe, long games. Now average parents must believe more pregnant bodies; both sensitive ran                                                          | 6.52    | 5.81            | 0.20             | edu packscholar #2                                 |
+--------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------+-----------------+------------------+----------------------------------------------------+
