+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+---------------+
| i_product_name                                     | i_brand                                            | i_class                                            | i_category                                         | qoh           |
| oughtablepriantiese                                | NULL                                               | NULL                                               | NULL                                               | 449.26993865  |
| priationeingese                                    | amalgamalg #2                                      | dresses                                            | Women                                              | 451.313253012 |
| priationeingese                                    | amalgamalg #2                                      | dresses                                            | NULL                                               | 451.313253012 |
| priationeingese                                    | amalgamalg #2                                      | NULL                                               | NULL                                               | 451.313253012 |
| priationeingese                                    | NULL                                               | NULL                                               | NULL                                               | 451.313253012 |
| n stn steingeingought                              | amalgbrand #4                                      | semi-precious                                      | Jewelry                                            | 451.60362173  |
| n stn steingeingought                              | amalgbrand #4                                      | semi-precious                                      | NULL                                               | 451.60362173  |
| n stn steingeingought                              | amalgbrand #4                                      | NULL                                               | NULL                                               | 451.60362173  |
| n stn steingeingought                              | NULL                                               | NULL                                               | NULL                                               | 451.60362173  |
| ationeingantieseable                               | exportiimporto #2                                  | pants                                              | Men                                                | 452.294478528 |
| ationeingantieseable                               | exportiimporto #2                                  | pants                                              | NULL                                               | 452.294478528 |
| ationeingantieseable                               | exportiimporto #2                                  | NULL                                               | NULL                                               | 452.294478528 |
| ationeingantieseable                               | NULL                                               | NULL                                               | NULL                                               | 452.294478528 |
| oughtationantiationable                            | importoimporto #2                                  | shirts                                             | Men                                                | 452.647657841 |
| oughtationantiationable                            | importoimporto #2                                  | shirts                                             | NULL                                               | 452.647657841 |
| oughtationantiationable                            | importoimporto #2                                  | NULL                                               | NULL                                               | 452.647657841 |
| oughtationantiationable                            | NULL                                               | NULL                                               | NULL                                               | 452.647657841 |
| oughteseablebarcally                               | edu packscholar #2                                 | classical                                          | Music                                              | 452.668008048 |
| oughteseablebarcally                               | edu packscholar #2                                 | classical                                          | NULL                                               | 452.668008048 |
| oughteseablebarcally                               | edu packscholar #2                                 | NULL                                               | NULL                                               | 452.668008048 |
| oughteseablebarcally                               | NULL                                               | NULL                                               | NULL                                               | 452.668008048 |
| n stn stpriesecally                                | importoimporto #2                                  | shirts                                             | Men                                                | 452.687626775 |
| n stn stpriesecally                                | importoimporto #2                                  | shirts                                             | NULL                                               | 452.687626775 |
| n stn stpriesecally                                | importoimporto #2                                  | NULL                                               | NULL                                               | 452.687626775 |
| n stn stpriesecally                                | NULL                                               | NULL                                               | NULL                                               | 452.687626775 |
| antiesepriantiought                                | edu packmaxi #6                                    | tennis                                             | Sports                                             | 453.214285714 |
| antiesepriantiought                                | edu packmaxi #6                                    | tennis                                             | NULL                                               | 453.214285714 |
| antiesepriantiought                                | edu packmaxi #6                                    | NULL                                               | NULL                                               | 453.214285714 |
| antiesepriantiought                                | NULL                                               | NULL                                               | NULL                                               | 453.214285714 |
| antieseantieingation                               | importounivamalg #6                                | camcorders                                         | Electronics                                        | 453.452525253 |
| antieseantieingation                               | importounivamalg #6                                | camcorders                                         | NULL                                               | 453.452525253 |
| antieseantieingation                               | importounivamalg #6                                | NULL                                               | NULL                                               | 453.452525253 |
| antieseantieingation                               | NULL                                               | NULL                                               | NULL                                               | 453.452525253 |
| priablebareseese                                   | amalgbrand #4                                      | bathroom                                           | Home                                               | 454.355371901 |
| priablebareseese                                   | amalgbrand #4                                      | bathroom                                           | NULL                                               | 454.355371901 |
| priablebareseese                                   | amalgbrand #4                                      | NULL                                               | NULL                                               | 454.355371901 |
| priablebareseese                                   | NULL                                               | NULL                                               | NULL                                               | 454.355371901 |
| antin stn stoughtcally                             | scholarmaxi #6                                     | fishing                                            | Sports                                             | 454.412121212 |
| antin stn stoughtcally                             | scholarmaxi #6                                     | fishing                                            | NULL                                               | 454.412121212 |
| antin stn stoughtcally                             | scholarmaxi #6                                     | NULL                                               | NULL                                               | 454.412121212 |
| antin stn stoughtcally                             | NULL                                               | NULL                                               | NULL                                               | 454.412121212 |
| ationationableeingeing                             | NULL                                               | home repair                                        | Books                                              | 455.163306452 |
| ationationableeingeing                             | NULL                                               | home repair                                        | NULL                                               | 455.163306452 |
| ationationableeingeing                             | NULL                                               | NULL                                               | NULL                                               | 455.163306452 |
| ationationableeingeing                             | NULL                                               | NULL                                               | NULL                                               | 455.163306452 |
| oughtableantin station                             | amalgexporti #2                                    | newborn                                            | Children                                           | 455.248496994 |
| oughtableantin station                             | amalgexporti #2                                    | newborn                                            | NULL                                               | 455.248496994 |
| oughtableantin station                             | amalgexporti #2                                    | NULL                                               | NULL                                               | 455.248496994 |
| oughtableantin station                             | NULL                                               | NULL                                               | NULL                                               | 455.248496994 |
| n steingpribarese                                  | importoscholar #2                                  | country                                            | Music                                              | 455.453815261 |
| n steingpribarese                                  | importoscholar #2                                  | country                                            | NULL                                               | 455.453815261 |
| n steingpribarese                                  | importoscholar #2                                  | NULL                                               | NULL                                               | 455.453815261 |
| n steingpribarese                                  | NULL                                               | NULL                                               | NULL                                               | 455.453815261 |
| oughtbaresebaranti                                 | amalgnameless #2                                   | accent                                             | Home                                               | 455.705284553 |
| oughtbaresebaranti                                 | amalgnameless #2                                   | accent                                             | NULL                                               | 455.705284553 |
| oughtbaresebaranti                                 | amalgnameless #2                                   | NULL                                               | NULL                                               | 455.705284553 |
| oughtbaresebaranti                                 | NULL                                               | NULL                                               | NULL                                               | 455.705284553 |
| ationcallycallypriought                            | importoscholar #2                                  | country                                            | Music                                              | 455.781124498 |
| ationcallycallypriought                            | importoscholar #2                                  | country                                            | NULL                                               | 455.781124498 |
| ationcallycallypriought                            | importoscholar #2                                  | NULL                                               | NULL                                               | 455.781124498 |
| ationcallycallypriought                            | NULL                                               | NULL                                               | NULL                                               | 455.781124498 |
| n stbareingantiese                                 | amalgimporto #2                                    | accessories                                        | Men                                                | 456.036217304 |
| n stbareingantiese                                 | amalgimporto #2                                    | accessories                                        | NULL                                               | 456.036217304 |
| n stbareingantiese                                 | amalgimporto #2                                    | NULL                                               | NULL                                               | 456.036217304 |
| n stbareingantiese                                 | NULL                                               | NULL                                               | NULL                                               | 456.036217304 |
| n stn stoughtationought                            | edu packcorp #8                                    | bracelets                                          | Jewelry                                            | 456.095334686 |
| n stn stoughtationought                            | edu packcorp #8                                    | bracelets                                          | NULL                                               | 456.095334686 |
| n stn stoughtationought                            | edu packcorp #8                                    | NULL                                               | NULL                                               | 456.095334686 |
| n stn stoughtationought                            | NULL                                               | NULL                                               | NULL                                               | 456.095334686 |
| ationbarpricallyation                              | importomaxi #8                                     | guns                                               | Sports                                             | 456.382591093 |
| ationbarpricallyation                              | importomaxi #8                                     | guns                                               | NULL                                               | 456.382591093 |
| ationbarpricallyation                              | importomaxi #8                                     | NULL                                               | NULL                                               | 456.382591093 |
| ationbarpricallyation                              | NULL                                               | NULL                                               | NULL                                               | 456.382591093 |
| prieseationpriought                                | importoscholar #2                                  | country                                            | Music                                              | 456.496957404 |
| prieseationpriought                                | importoscholar #2                                  | country                                            | NULL                                               | 456.496957404 |
| prieseationpriought                                | importoscholar #2                                  | NULL                                               | NULL                                               | 456.496957404 |
| prieseationpriought                                | NULL                                               | NULL                                               | NULL                                               | 456.496957404 |
| ationeingeingoughtation                            | importobrand #8                                    | costume                                            | Jewelry                                            | 456.700803213 |
| ationeingeingoughtation                            | importobrand #8                                    | costume                                            | NULL                                               | 456.700803213 |
| ationeingeingoughtation                            | importobrand #8                                    | NULL                                               | NULL                                               | 456.700803213 |
| ationeingeingoughtation                            | NULL                                               | NULL                                               | NULL                                               | 456.700803213 |
+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+---------------+
