+---------------------+--------+-------+-------------------+-----------+----------+----------+
| cc_name             | d_year | d_moy | avg_monthly_sales | sum_sales | psum     | nsum     |
| California_1        | 2000   | 3     | 17268.663333      | 8677.77   | 9719.08  | 9832.88  |
| Pacific Northwest_1 | 2000   | 6     | 17037.985833      | 8447.43   | 10117.49 | 10613.19 |
| California          | 2000   | 5     | 16820.875000      | 8231.29   | 9324.45  | 10240.30 |
| North Midwest       | 2000   | 4     | 18147.850833      | 9561.94   | 10674.24 | 10500.21 |
| Mid Atlantic        | 2000   | 6     | 16325.660000      | 7741.57   | 9054.91  | 9484.41  |
| Mid Atlantic_1      | 2000   | 2     | 16918.380833      | 8335.90   | 9424.64  | 10137.99 |
| Mid Atlantic        | 2000   | 3     | 16508.482500      | 7938.25   | 10906.77 | 9862.94  |
| NY Metro_1          | 2000   | 1     | 16762.776667      | 8193.81   | 16568.66 | 9697.55  |
| NY Metro_1          | 2000   | 4     | 16799.932500      | 8231.32   | 10548.25 | 10004.80 |
| North Midwest       | 2000   | 7     | 17380.679167      | 8814.57   | 11669.72 | 23301.64 |
| California          | 2000   | 2     | 16534.905000      | 7970.04   | 10422.18 | 10968.86 |
| North Midwest_1     | 2000   | 2     | 16784.243333      | 8221.82   | 10754.70 | 11057.17 |
+---------------------+--------+-------+-------------------+-----------+----------+----------+
