+---------+-----------------+--------+-------+----------------------------------------------------+-----------+-----------+
| channel | col_name        | d_year | d_qoy | i_category                                         | sales_cnt | sales_amt |
| catalog | cs_warehouse_sk | 1999   | 3     | Women                                              | 211       | 292743.41 |
| catalog | cs_warehouse_sk | 1999   | 3     | NULL                                               | 2         | NULL      |
| catalog | cs_warehouse_sk | 1999   | 4     | Books                                              | 332       | 452427.78 |
| catalog | cs_warehouse_sk | 1999   | 4     | Children                                           | 311       | 418882.85 |
| catalog | cs_warehouse_sk | 1999   | 4     | Electronics                                        | 331       | 407333.87 |
| catalog | cs_warehouse_sk | 1999   | 4     | Home                                               | 285       | 489911.14 |
| catalog | cs_warehouse_sk | 1999   | 4     | Jewelry                                            | 309       | 364702.92 |
| catalog | cs_warehouse_sk | 1999   | 4     | Men                                                | 301       | 468777.84 |
| catalog | cs_warehouse_sk | 1999   | 4     | Music                                              | 321       | 424890.18 |
| catalog | cs_warehouse_sk | 1999   | 4     | Shoes                                              | 305       | 326588.33 |
| catalog | cs_warehouse_sk | 1999   | 4     | Sports                                             | 274       | 339719.78 |
| catalog | cs_warehouse_sk | 1999   | 4     | Women                                              | 323       | 344718.09 |
| catalog | cs_warehouse_sk | 1999   | 4     | NULL                                               | 12        | 3383.92   |
| catalog | cs_warehouse_sk | 2000   | 1     | Books                                              | 112       | 96743.36  |
| catalog | cs_warehouse_sk | 2000   | 1     | Children                                           | 84        | 104591.74 |
| catalog | cs_warehouse_sk | 2000   | 1     | Electronics                                        | 110       | 119360.24 |
| catalog | cs_warehouse_sk | 2000   | 1     | Home                                               | 110       | 151951.55 |
| catalog | cs_warehouse_sk | 2000   | 1     | Jewelry                                            | 109       | 128450.16 |
| catalog | cs_warehouse_sk | 2000   | 1     | Men                                                | 104       | 120086.93 |
| catalog | cs_warehouse_sk | 2000   | 1     | Music                                              | 101       | 151461.56 |
| catalog | cs_warehouse_sk | 2000   | 1     | Shoes                                              | 100       | 83087.32  |
| catalog | cs_warehouse_sk | 2000   | 1     | Sports                                             | 95        | 123434.87 |
| catalog | cs_warehouse_sk | 2000   | 1     | Women                                              | 101       | 148780.55 |
| catalog | cs_warehouse_sk | 2000   | 1     | NULL                                               | 4         | 17035.14  |
| catalog | cs_warehouse_sk | 2000   | 2     | Books                                              | 114       | 145475.39 |
+---------+-----------------+--------+-------+----------------------------------------------------+-----------+-----------+
