+-----------------------+--------+--------------------+----------------------+--------------------+----------------------+
| ca_county             | d_year | web_q1_q2_increase | store_q1_q2_increase | web_q2_q3_increase | store_q2_q3_increase |
| Benson County         | 2000   | 1.404325           | 0.957503             | 4.846314           | 1.402197             |
| Teller County         | 2000   | 4.685087           | 0.971184             | 3.565519           | 2.321552             |
| Yankton County        | 2000   | 1.736998           | 1.176686             | 1.240134           | 1.065785             |
| Washington Parish     | 2000   | 1.556297           | 0.869355             | 1.515333           | 1.133944             |
| West Feliciana Parish | 2000   | 1.023274           | 0.658717             | 6.111864           | 2.400550             |
| Grand Forks County    | 2000   | 1.793201           | 1.705221             | 1.297644           | 1.246464             |
| Archer County         | 2000   | 0.807147           | 0.533788             | 2.787449           | 2.388939             |
| Humboldt County       | 2000   | 1.178103           | 0.922883             | 1.983793           | 1.702614             |
| Baltimore County      | 2000   | 1.240214           | 0.777016             | 3.911434           | 2.930689             |
| Muhlenberg County     | 2000   | 0.920103           | 0.687219             | 1.940290           | 1.477054             |
| Lubbock County        | 2000   | 1.141143           | 0.631949             | 2.828969           | 2.585416             |
| Niobrara County       | 2000   | 0.771769           | 0.573906             | 2.166876           | 1.291402             |
| Brule County          | 2000   | 0.779614           | 0.515656             | 3.857907           | 2.214527             |
| Borden County         | 2000   | 1.537164           | 0.934972             | 4.097853           | 1.976157             |
| Sheridan County       | 2000   | 1.209688           | 1.009395             | 2.505317           | 1.840271             |
| Angelina County       | 2000   | 0.955569           | 0.917382             | 2.217991           | 1.565685             |
| Okaloosa County       | 2000   | 1.075759           | 0.942707             | 1.523985           | 1.493075             |
| Iroquois County       | 2000   | 0.849434           | 0.644442             | 3.735307           | 1.922326             |
| Otsego County         | 2000   | 1.116795           | 1.021556             | 1.988647           | 1.741520             |
| Augusta County        | 2000   | 1.002307           | 0.788167             | 3.322235           | 1.932803             |
| Phillips County       | 2000   | 1.158741           | 0.867180             | 2.004800           | 1.744015             |
| Nuckolls County       | 2000   | 1.651419           | 1.334383             | 3.345026           | 2.053493             |
| Nelson County         | 2000   | 1.900096           | 1.026013             | 1.945174           | 1.847691             |
| Norfolk County        | 2000   | 1.169361           | 0.765034             | 5.821191           | 3.058659             |
| Garfield County       | 2000   | 1.084549           | 1.034260             | 2.001304           | 1.805092             |
| Rowan County          | 2000   | 1.988663           | 1.074502             | 2.757073           | 1.886813             |
| Titus County          | 2000   | 4.415967           | 0.587913             | 2.408505           | 1.929611             |
| Moore County          | 2000   | 1.526857           | 1.282932             | 2.013226           | 1.476720             |
| Menard County         | 2000   | 0.912934           | 0.895670             | 2.794046           | 1.749987             |
| Piatt County          | 2000   | 1.738707           | 0.657829             | 1.769892           | 0.970644             |
| Susquehanna County    | 2000   | 1.803903           | 1.359399             | 1.147256           | 0.947249             |
| Bon Homme County      | 2000   | 1.118804           | 0.731384             | 3.838273           | 1.565762             |
| Bland County          | 2000   | 0.993241           | 0.617291             | 3.078113           | 2.264346             |
| Greenlee County       | 2000   | 2.023897           | 0.844424             | 5.665946           | 2.663050             |
| Sarpy County          | 2000   | 1.694156           | 0.803304             | 2.041887           | 1.759834             |
| Gove County           | 2000   | 0.897563           | 0.711196             | 2.627087           | 2.210752             |
| Erie County           | 2000   | 0.833839           | 0.829372             | 2.916700           | 2.064507             |
| Northampton County    | 2000   | 1.462232           | 0.797380             | 2.308392           | 1.809384             |
| Merrimack County      | 2000   | 1.955145           | 1.234008             | 1.935168           | 1.667950             |
| Poweshiek County      | 2000   | 0.954373           | 0.867024             | 3.351041           | 2.542177             |
| Knox County           | 2000   | 0.998350           | 0.937735             | 2.067790           | 1.951898             |
| Salem city            | 2000   | 1.552741           | 1.031875             | 1.791788           | 1.682730             |
| Wright County         | 2000   | 0.955797           | 0.933273             | 2.726701           | 1.747028             |
| Union Parish          | 2000   | 2.568143           | 0.995688             | 1.360797           | 1.279707             |
| Whitley County        | 2000   | 2.000064           | 1.083998             | 1.604195           | 1.575922             |
| Anne Arundel County   | 2000   | 8.408700           | 1.144753             | 2.613173           | 1.226218             |
| Chilton County        | 2000   | 2.563357           | 0.585636             | 2.061186           | 1.513646             |
| Dodge County          | 2000   | 1.328782           | 0.875090             | 1.660170           | 1.596799             |
| McDonough County      | 2000   | 1.219855           | 0.780011             | 1.974686           | 1.973002             |
| York County           | 2000   | 1.371382           | 0.814364             | 2.414265           | 1.883099             |
| Cross County          | 2000   | 1.951565           | 1.673400             | 1.645750           | 1.363224             |
| Oakland County        | 2000   | 1.959074           | 1.345149             | 3.281137           | 1.573624             |
| Aiken County          | 2000   | 1.413911           | 1.238636             | 2.674094           | 0.976759             |
| Motley County         | 2000   | 2.785372           | 1.013354             | 2.216576           | 1.561424             |
| Box Elder County      | 2000   | 1.107884           | 0.788371             | 2.263694           | 2.104787             |
| Isanti County         | 2000   | 4.147015           | 1.422210             | 3.560018           | 2.094148             |
| Rio Blanco County     | 2000   | 0.763145           | 0.559732             | 2.613600           | 2.309186             |
| Montmorency County    | 2000   | 1.854798           | 1.433622             | 1.559942           | 1.173291             |
| Dickey County         | 2000   | 1.419423           | 0.666277             | 2.170787           | 1.870920             |
| Albemarle County      | 2000   | 2.047448           | 1.003550             | 1.741254           | 1.646859             |
| Fairfax city          | 2000   | 1.025469           | 0.788601             | 2.079244           | 1.793215             |
| Meade County          | 2000   | 1.048218           | 0.888097             | 2.122935           | 1.808624             |
| Dunn County           | 2000   | 1.146636           | 0.835831             | 1.999163           | 1.836575             |
| Watonwan County       | 2000   | 3.551122           | 0.721835             | 1.508334           | 1.482143             |
| Pittsylvania County   | 2000   | 1.264614           | 1.022237             | 2.545161           | 2.159232             |
| Meigs County          | 2000   | 0.963539           | 0.896078             | 1.410938           | 1.323870             |
| Chisago County        | 2000   | 2.707115           | 1.054951             | 1.498232           | 1.251310             |
| Ontonagon County      | 2000   | 1.035029           | 0.869879             | 3.085122           | 2.491487             |
| Sac County            | 2000   | 0.629766           | 0.608890             | 2.605875           | 2.385949             |
| Red Lake County       | 2000   | 1.392659           | 0.795467             | 2.550903           | 2.366157             |
| Calcasieu Parish      | 2000   | 1.352503           | 1.117411             | 2.577765           | 1.984918             |
| Ottawa County         | 2000   | 1.297733           | 0.816382             | 1.908285           | 1.848444             |
| Webb County           | 2000   | 1.302915           | 0.930275             | 2.222230           | 2.154665             |
| Leslie County         | 2000   | 1.606750           | 1.104959             | 1.388852           | 1.092739             |
| Green County          | 2000   | 1.112023           | 1.037221             | 1.644604           | 1.636506             |
| Sullivan County       | 2000   | 0.992783           | 0.915342             | 2.693844           | 1.463791             |
| Saline County         | 2000   | 1.356992           | 0.923294             | 1.798157           | 1.730341             |
| Van Zandt County      | 2000   | 1.187053           | 1.137993             | 1.884152           | 1.182239             |
| Anson County          | 2000   | 1.509268           | 0.646725             | 1.664742           | 1.604311             |
| Garrett County        | 2000   | 2.255865           | 1.202459             | 1.532144           | 1.401054             |
| Harding County        | 2000   | 1.474003           | 0.943569             | 2.524684           | 1.758087             |
| Menifee County        | 2000   | 0.782313           | 0.498034             | 3.062178           | 2.921337             |
| Lawrence County       | 2000   | 1.155141           | 0.853562             | 2.080490           | 1.977301             |
| Beadle County         | 2000   | 1.036628           | 0.709981             | 2.500521           | 2.048981             |
| Coffey County         | 2000   | 1.572144           | 0.966509             | 2.490087           | 1.939980             |
| Atkinson County       | 2000   | 0.992972           | 0.897561             | 2.007411           | 1.218554             |
| San Jacinto County    | 2000   | 1.210792           | 0.718513             | 2.544693           | 1.990910             |
| Hood River County     | 2000   | 1.706796           | 0.672984             | 2.892497           | 2.801952             |
| Wabaunsee County      | 2000   | 1.276150           | 0.716521             | 2.226774           | 1.815397             |
| Haines Borough        | 2000   | 1.447612           | 1.056035             | 1.870915           | 1.272472             |
| Surry County          | 2000   | 2.734167           | 0.978899             | 2.064279           | 1.626107             |
| Lampasas County       | 2000   | 0.789274           | 0.714260             | 3.140384           | 1.367408             |
| Forsyth County        | 2000   | 1.192691           | 0.848408             | 2.873332           | 1.694335             |
| Hardeman County       | 2000   | 2.639194           | 0.837206             | 4.054793           | 1.978296             |
| Sharkey County        | 2000   | 1.329185           | 1.149685             | 2.219729           | 1.579714             |
| Nevada County         | 2000   | 0.986216           | 0.927936             | 2.406077           | 1.550475             |
| Juneau County         | 2000   | 3.713751           | 1.325307             | 2.153830           | 1.203124             |
| Blount County         | 2000   | 2.055870           | 1.020419             | 3.558937           | 1.622150             |
| Belknap County        | 2000   | 1.388389           | 0.967112             | 2.050993           | 1.793128             |
| Yoakum County         | 2000   | 1.078096           | 0.582727             | 3.283322           | 2.386482             |
| Carter County         | 2000   | 1.128997           | 0.904317             | 1.952558           | 1.872356             |
| Larimer County        | 2000   | 0.916519           | 0.757905             | 1.836687           | 1.700405             |
| Anchorage Borough     | 2000   | 0.842195           | 0.576870             | 4.219068           | 2.177899             |
| Coal County           | 2000   | 2.121512           | 1.302415             | 1.392877           | 1.079027             |
| Ouachita Parish       | 2000   | 2.291524           | 1.252448             | 2.193187           | 1.983533             |
| Weld County           | 2000   | 2.472342           | 1.003144             | 1.860741           | 1.634395             |
| Benton County         | 2000   | 1.003672           | 0.992217             | 1.969560           | 1.520134             |
| White Pine County     | 2000   | 0.916966           | 0.857092             | 2.965113           | 1.922058             |
| Shiawassee County     | 2000   | 1.474124           | 1.073789             | 2.024839           | 1.399497             |
| Tate County           | 2000   | 8.074347           | 0.750072             | 2.041867           | 2.001817             |
| Hawaii County         | 2000   | 2.259889           | 1.055415             | 1.445349           | 1.191930             |
| Rio Arriba County     | 2000   | 2.089114           | 1.453135             | 4.126153           | 2.019128             |
| Castro County         | 2000   | 1.374376           | 1.193888             | 3.008354           | 2.368239             |
| Van Buren County      | 2000   | 0.919608           | 0.840251             | 1.940866           | 1.743693             |
| DeWitt County         | 2000   | 7.100848           | 0.802230             | 1.941697           | 1.744765             |
| Alamosa County        | 2000   | 2.240719           | 0.974762             | 2.766986           | 1.631478             |
| Madera County         | 2000   | 2.403762           | 1.134372             | 2.034791           | 1.582364             |
| Lamoille County       | 2000   | 1.349821           | 1.018903             | 1.432844           | 1.396797             |
| Billings County       | 2000   | 2.513417           | 1.098458             | 1.788596           | 1.141334             |
| Livingston Parish     | 2000   | 1.231861           | 0.660394             | 2.543697           | 2.015240             |
| Frontier County       | 2000   | 2.714567           | 0.925215             | 1.708260           | 1.507567             |
| Chemung County        | 2000   | 1.671053           | 0.839593             | 2.388978           | 1.655231             |
| Parker County         | 2000   | 0.964593           | 0.963027             | 1.671122           | 1.665314             |
| Gregg County          | 2000   | 0.889623           | 0.734825             | 2.623618           | 2.280670             |
| Richland Parish       | 2000   | 1.216222           | 0.936687             | 2.979516           | 1.432031             |
| Sumter County         | 2000   | 1.197307           | 1.031827             | 1.536382           | 1.465111             |
| Polk County           | 2000   | 1.223044           | 0.953869             | 1.948489           | 1.832590             |
| Loudon County         | 2000   | 1.372352           | 1.068682             | 2.120680           | 1.477564             |
| Jones County          | 2000   | 1.018306           | 0.896289             | 1.794601           | 1.774971             |
| Washington County     | 2000   | 1.105694           | 0.917860             | 1.934003           | 1.928267             |
| Ogemaw County         | 2000   | 1.286847           | 1.073281             | 2.863492           | 1.459694             |
| Glenn County          | 2000   | 2.851253           | 1.467693             | 2.118242           | 1.707614             |
| Darke County          | 2000   | 1.144010           | 1.015568             | 1.669634           | 1.326696             |
| Caddo Parish          | 2000   | 0.636494           | 0.378208             | 4.615189           | 3.042501             |
| Pasquotank County     | 2000   | 2.968188           | 2.332607             | 2.141824           | 1.379075             |
| San Saba County       | 2000   | 2.170013           | 0.722766             | 2.607542           | 1.707702             |
| Gregory County        | 2000   | 1.204627           | 1.052023             | 2.620413           | 1.357849             |
| Gilpin County         | 2000   | 0.702133           | 0.521316             | 2.996918           | 2.620456             |
| Davie County          | 2000   | 1.999684           | 1.009112             | 2.433467           | 1.592669             |
| Nobles County         | 2000   | 1.610260           | 1.478379             | 2.501455           | 0.954730             |
| Langlade County       | 2000   | 4.723583           | 1.127734             | 2.441875           | 1.877566             |
| Stevens County        | 2000   | 1.713859           | 1.095356             | 1.809424           | 1.517373             |
| Webster Parish        | 2000   | 1.420028           | 1.227733             | 2.049978           | 1.457324             |
| Rolette County        | 2000   | 1.135451           | 0.733643             | 2.089678           | 1.131291             |
| Ozaukee County        | 2000   | 0.753570           | 0.626487             | 2.622013           | 2.586019             |
| Harnett County        | 2000   | 1.649432           | 0.760302             | 3.113641           | 1.895947             |
| Daniels County        | 2000   | 2.520472           | 0.982777             | 2.145679           | 1.316029             |
| Alcona County         | 2000   | 1.824580           | 0.952380             | 3.294202           | 2.034680             |
| Broward County        | 2000   | 1.058850           | 0.600107             | 3.255475           | 3.244821             |
| Baltimore city        | 2000   | 1.224938           | 0.883093             | 2.220858           | 2.047825             |
| Amherst County        | 2000   | 0.888603           | 0.778884             | 3.125023           | 1.720323             |
| Caldwell Parish       | 2000   | 2.307050           | 0.966139             | 2.044372           | 1.692082             |
| Emery County          | 2000   | 1.976823           | 1.465133             | 2.018424           | 1.144566             |
| Goochland County      | 2000   | 1.268298           | 0.809519             | 3.803371           | 2.024203             |
| DeBaca County         | 2000   | 0.892893           | 0.767267             | 3.101142           | 1.699876             |
| McCreary County       | 2000   | 1.365852           | 1.028243             | 2.044490           | 2.036019             |
| Cheshire County       | 2000   | 0.954216           | 0.860484             | 1.953183           | 1.342960             |
| Leon County           | 2000   | 2.265235           | 1.669808             | 1.293395           | 1.281194             |
| Lavaca County         | 2000   | 2.535406           | 1.241312             | 2.125176           | 1.976241             |
| Washoe County         | 2000   | 1.267373           | 1.199754             | 2.656263           | 1.345076             |
| Jerauld County        | 2000   | 0.664777           | 0.643972             | 3.411281           | 2.069038             |
| Dixon County          | 2000   | 8.240426           | 1.374002             | 1.331485           | 1.313600             |
| La Porte County       | 2000   | 1.963464           | 1.753194             | 3.715850           | 1.488240             |
| Custer County         | 2000   | 0.910469           | 0.766957             | 2.413423           | 2.147778             |
| Pondera County        | 2000   | 1.950263           | 0.763044             | 3.979771           | 2.797773             |
| Mahnomen County       | 2000   | 0.969929           | 0.766222             | 2.535405           | 1.756426             |
| Suffolk city          | 2000   | 0.869259           | 0.795980             | 4.108342           | 1.630023             |
| Otter Tail County     | 2000   | 4.581284           | 1.022751             | 2.529187           | 2.170894             |
| Giles County          | 2000   | 1.100133           | 0.885475             | 2.063480           | 1.561799             |
| Santa Barbara County  | 2000   | 3.438521           | 0.893007             | 1.661925           | 1.294131             |
| Fall River County     | 2000   | 1.174994           | 1.041127             | 2.825638           | 1.729514             |
| Payette County        | 2000   | 2.664056           | 1.470806             | 1.664940           | 1.146152             |
| Yuba County           | 2000   | 0.688174           | 0.379572             | 3.604330           | 2.440375             |
| East Feliciana Parish | 2000   | 0.758351           | 0.684763             | 2.814628           | 1.274159             |
| Wibaux County         | 2000   | 1.542704           | 0.680334             | 5.553951           | 2.652549             |
| Indian River County   | 2000   | 7.590702           | 0.994066             | 1.075881           | 1.053828             |
| Slope County          | 2000   | 2.375727           | 1.057023             | 3.449404           | 1.709638             |
| Malheur County        | 2000   | 1.031114           | 0.958885             | 1.918421           | 1.163330             |
| Broadwater County     | 2000   | 1.209544           | 1.016237             | 2.306905           | 1.677249             |
| Cowley County         | 2000   | 0.955822           | 0.667369             | 3.229630           | 2.748906             |
| Musselshell County    | 2000   | 0.753869           | 0.648731             | 2.998583           | 2.345301             |
| Kershaw County        | 2000   | 0.728724           | 0.707368             | 1.936707           | 1.624986             |
| Hot Springs County    | 2000   | 3.442934           | 1.613664             | 1.518490           | 0.977846             |
| Lipscomb County       | 2000   | 0.641360           | 0.633709             | 2.587560           | 2.071240             |
| Winkler County        | 2000   | 1.282260           | 1.019893             | 3.388146           | 1.510304             |
| Okmulgee County       | 2000   | 0.980380           | 0.946265             | 2.767434           | 1.306273             |
| Summers County        | 2000   | 2.227961           | 1.294281             | 1.590832           | 1.554515             |
| Schley County         | 2000   | 2.706026           | 0.906806             | 2.489556           | 1.284906             |
| Mitchell County       | 2000   | 1.938015           | 1.182779             | 1.460881           | 1.358563             |
| Kittitas County       | 2000   | 1.188652           | 1.099431             | 1.676009           | 1.036505             |
| Yazoo County          | 2000   | 1.575849           | 0.936595             | 2.537028           | 2.529768             |
| Donley County         | 2000   | 2.455281           | 0.685636             | 2.246309           | 1.799544             |
| Marengo County        | 2000   | 1.648892           | 0.912223             | 2.596339           | 2.155370             |
| Rhea County           | 2000   | 0.726294           | 0.725276             | 3.457899           | 1.792210             |
| Radford city          | 2000   | 1.296341           | 0.858210             | 1.298670           | 1.174008             |
| Cassia County         | 2000   | 1.152107           | 0.865152             | 3.318608           | 1.408853             |
| Hampton County        | 2000   | 0.807984           | 0.665598             | 3.603937           | 1.836984             |
| Wells County          | 2000   | 1.152158           | 0.940356             | 2.225384           | 1.725788             |
| Boyle County          | 2000   | 0.883754           | 0.427287             | 3.915389           | 3.718691             |
| Colquitt County       | 2000   | 3.619967           | 0.868485             | 2.579146           | 1.699230             |
| De Witt County        | 2000   | 1.170002           | 1.046604             | 1.986409           | 1.537484             |
| Catawba County        | 2000   | 1.083608           | 0.725559             | 3.629843           | 1.661806             |
| Bernalillo County     | 2000   | 1.210663           | 0.949307             | 5.024846           | 1.748248             |
| Overton County        | 2000   | 2.257377           | 1.017779             | 2.184972           | 1.376200             |
| Montcalm County       | 2000   | 0.880117           | 0.863241             | 3.789219           | 1.620838             |
| Ellsworth County      | 2000   | 1.509966           | 1.043653             | 6.577910           | 1.973386             |
| Natrona County        | 2000   | 0.814708           | 0.639293             | 2.287424           | 2.269036             |
| Pend Oreille County   | 2000   | 0.862654           | 0.734784             | 3.192129           | 2.230301             |
| Deer Lodge County     | 2000   | 1.739762           | 0.959016             | 2.635935           | 1.376619             |
| Solano County         | 2000   | 1.502587           | 0.730889             | 1.874101           | 1.831905             |
| Union County          | 2000   | 0.996245           | 0.909553             | 1.990289           | 1.977325             |
| Green Lake County     | 2000   | 0.839490           | 0.787063             | 4.233708           | 1.887259             |
| King William County   | 2000   | 2.109629           | 1.115933             | 1.847016           | 1.527034             |
| Shelby County         | 2000   | 0.893579           | 0.847311             | 2.250795           | 2.076775             |
| Mathews County        | 2000   | 2.339516           | 1.240474             | 2.655699           | 1.547141             |
| Shasta County         | 2000   | 1.273869           | 1.199434             | 1.672478           | 1.560579             |
| Fulton County         | 2000   | 0.969098           | 0.805526             | 1.832533           | 1.800239             |
| Caswell County        | 2000   | 1.064000           | 0.544254             | 2.994940           | 1.863647             |
| Nacogdoches County    | 2000   | 2.460809           | 1.084606             | 1.223479           | 1.040727             |
| Jackson Parish        | 2000   | 0.908895           | 0.831022             | 4.400307           | 1.737157             |
| Columbus County       | 2000   | 1.677058           | 0.674462             | 2.363417           | 1.966880             |
| Charlton County       | 2000   | 1.772543           | 1.229918             | 2.100615           | 1.013980             |
| Payne County          | 2000   | 1.039790           | 0.805708             | 1.357521           | 1.351981             |
| Shawano County        | 2000   | 1.229505           | 0.938419             | 2.854662           | 1.662438             |
| Taylor County         | 2000   | 0.869502           | 0.855034             | 2.042748           | 1.767919             |
| Wakulla County        | 2000   | 2.527398           | 1.864536             | 3.120541           | 2.051238             |
| Perry County          | 2000   | 1.224278           | 1.135439             | 1.698982           | 1.679966             |
| Kenton County         | 2000   | 1.412077           | 0.800740             | 2.201944           | 1.834806             |
| Ward County           | 2000   | 0.980978           | 0.887259             | 2.206110           | 1.409112             |
| Pawnee County         | 2000   | 1.120063           | 0.956107             | 1.890339           | 1.874030             |
| Bannock County        | 2000   | 2.160190           | 1.433100             | 2.122850           | 1.221190             |
| Williamsburg County   | 2000   | 2.541026           | 1.354630             | 1.605373           | 1.323938             |
| Winneshiek County     | 2000   | 0.816181           | 0.766618             | 2.128315           | 1.753642             |
| Horry County          | 2000   | 4.032421           | 1.155492             | 2.007480           | 1.013425             |
| Sanders County        | 2000   | 3.809416           | 1.185385             | 3.550129           | 2.217064             |
| Queen Anne County     | 2000   | 6.652011           | 0.548849             | 2.597693           | 2.292098             |
| Upson County          | 2000   | 4.303084           | 0.969113             | 1.441638           | 1.279731             |
| Yalobusha County      | 2000   | 1.482254           | 1.405636             | 2.167815           | 2.151631             |
| Cass County           | 2000   | 1.246111           | 1.016713             | 2.016875           | 1.672422             |
| Jackson County        | 2000   | 0.876330           | 0.836944             | 1.933738           | 1.919235             |
| Griggs County         | 2000   | 2.234713           | 0.713016             | 2.824254           | 1.229897             |
| Defiance County       | 2000   | 2.087301           | 0.743945             | 3.077418           | 2.476379             |
| Roseau County         | 2000   | 0.851591           | 0.668886             | 4.007735           | 2.144760             |
| Danville city         | 2000   | 1.482604           | 1.131466             | 4.533589           | 1.494837             |
| Lucas County          | 2000   | 1.081365           | 0.926205             | 3.202616           | 2.230823             |
| Red River Parish      | 2000   | 1.125761           | 1.096725             | 2.222965           | 1.613853             |
| Box Butte County      | 2000   | 1.818960           | 1.039638             | 1.460257           | 1.439136             |
| Worth County          | 2000   | 1.157498           | 0.908263             | 1.824854           | 1.589335             |
| Apache County         | 2000   | 1.300569           | 0.753237             | 3.711824           | 2.117532             |
| Sitka Borough         | 2000   | 2.863315           | 0.542197             | 2.092816           | 1.935208             |
| Clayton County        | 2000   | 1.216220           | 0.948508             | 1.653147           | 1.412920             |
| Daviess County        | 2000   | 1.030900           | 0.760538             | 1.833798           | 1.771219             |
| Screven County        | 2000   | 0.807743           | 0.725121             | 2.983337           | 2.491464             |
| Mohave County         | 2000   | 1.431086           | 1.201175             | 1.454382           | 1.405440             |
| Ray County            | 2000   | 1.225741           | 1.034548             | 5.109511           | 1.475226             |
| Rockcastle County     | 2000   | 1.596443           | 0.935349             | 2.804564           | 2.247391             |
| Cheatham County       | 2000   | 0.884095           | 0.458271             | 2.665636           | 2.338379             |
| Isabella County       | 2000   | 4.634561           | 0.964795             | 1.576096           | 1.144195             |
| Duplin County         | 2000   | 1.265276           | 0.979833             | 1.757504           | 1.708783             |
| Clinton County        | 2000   | 1.021627           | 0.982055             | 2.169983           | 1.797404             |
| Beaver County         | 2000   | 1.460758           | 1.111488             | 1.737552           | 1.573313             |
| Loudoun County        | 2000   | 1.089135           | 0.861351             | 2.528840           | 1.928649             |
| Grand Isle County     | 2000   | 1.357394           | 1.107241             | 2.107095           | 1.364004             |
| Spokane County        | 2000   | 1.651209           | 0.954912             | 2.083235           | 1.780553             |
| Cuming County         | 2000   | 2.259925           | 1.913827             | 4.195292           | 1.122675             |
| Bienville Parish      | 2000   | 5.009186           | 1.162242             | 1.544471           | 0.994056             |
+-----------------------+--------+--------------------+----------------------+--------------------+----------------------+
