+---------------------------------+--------------------------------+---------------------+---------+------------+------------+-------------+-----------+
| substr(w_warehouse_name, 1, 20) | sm_type                        | cc_name             | 30 days | 31-60 days | 61-90 days | 91-120 days | >120 days |
| Conventional childr             | EXPRESS                        | Hawaii/Alaska_1     | 1577    | 1718       | 1604       | 0           | 0         |
| Conventional childr             | EXPRESS                        | Mid Atlantic        | 1502    | 1595       | 1514       | 0           | 0         |
| Conventional childr             | EXPRESS                        | Mid Atlantic_1      | 1515    | 1580       | 1553       | 0           | 0         |
| Conventional childr             | EXPRESS                        | NY Metro            | 1565    | 1601       | 1612       | 0           | 0         |
| Conventional childr             | EXPRESS                        | NY Metro_1          | 1507    | 1571       | 1631       | 0           | 0         |
| Conventional childr             | EXPRESS                        | North Midwest       | 1528    | 1591       | 1603       | 0           | 0         |
| Conventional childr             | EXPRESS                        | North Midwest_1     | 1573    | 1545       | 1642       | 0           | 0         |
| Conventional childr             | EXPRESS                        | Pacific Northwest   | 1599    | 1674       | 1606       | 0           | 0         |
| Conventional childr             | EXPRESS                        | Pacific Northwest_1 | 1475    | 1555       | 1593       | 0           | 0         |
| Conventional childr             | LIBRARY                        | California          | 1151    | 1173       | 1180       | 0           | 0         |
| Conventional childr             | LIBRARY                        | California_1        | 1167    | 1204       | 1185       | 0           | 0         |
| Conventional childr             | LIBRARY                        | Hawaii/Alaska       | 1176    | 1222       | 1192       | 0           | 0         |
| Conventional childr             | LIBRARY                        | Hawaii/Alaska_1     | 1132    | 1304       | 1219       | 0           | 0         |
| Conventional childr             | LIBRARY                        | Mid Atlantic        | 1152    | 1173       | 1259       | 0           | 0         |
| Conventional childr             | LIBRARY                        | Mid Atlantic_1      | 1133    | 1195       | 1161       | 0           | 0         |
| Conventional childr             | LIBRARY                        | NY Metro            | 1166    | 1196       | 1172       | 0           | 0         |
| Conventional childr             | LIBRARY                        | NY Metro_1          | 1166    | 1212       | 1214       | 0           | 0         |
| Conventional childr             | LIBRARY                        | North Midwest       | 1147    | 1229       | 1183       | 0           | 0         |
| Conventional childr             | LIBRARY                        | North Midwest_1     | 1224    | 1207       | 1179       | 0           | 0         |
| Conventional childr             | LIBRARY                        | Pacific Northwest   | 1162    | 1195       | 1166       | 0           | 0         |
| Conventional childr             | LIBRARY                        | Pacific Northwest_1 | 1177    | 1178       | 1194       | 0           | 0         |
| Conventional childr             | NEXT DAY                       | California          | 1533    | 1596       | 1595       | 0           | 0         |
| Conventional childr             | NEXT DAY                       | California_1        | 1584    | 1583       | 1609       | 0           | 0         |
| Conventional childr             | NEXT DAY                       | Hawaii/Alaska       | 1494    | 1617       | 1597       | 0           | 0         |
| Conventional childr             | NEXT DAY                       | Hawaii/Alaska_1     | 1593    | 1616       | 1571       | 0           | 0         |
+---------------------------------+--------------------------------+---------------------+---------+------------+------------+-------------+-----------+
